Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Evaluations,Total_Time,Oppo_Total_Num,Oppo_Total_Time
3,Minimax,5,False,MCTS,3,1,0,0,12,857661,36.6974,3881,36.1047
4,Minimax,5,False,MCTS,3,1,0,0,112,2623122,241.168,36095,339.49
0,Minimax,5,False,MCTS,3,1,0,0,5,550051,20.9632,1002,15.0568
1,Minimax,5,False,MCTS,3,1,0,0,11,241379,11.1035,2077,33.1024
2,Minimax,5,False,MCTS,3,1,0,0,4,468630,18.1351,608,12.0727
3,Minimax,5,False,MCTS,3,1,0,0,8,501985,20.9244,1959,24.0949
4,Minimax,5,False,MCTS,3,1,0,0,100,2209770,179,33418,302.707
0,Minimax,5,False,MCTS,3,1,0,0,5,623054,25.177,1117,15.0659
1,Minimax,5,False,MCTS,3,1,0,0,33,992465,52.3581,9729,99.82
2,Minimax,5,False,MCTS,3,1,0,0,10,722995,26.1784,1931,30.1192
3,Minimax,5,False,MCTS,3,1,0,0,8,1643865,65.4232,1985,24.0602
4,Minimax,5,False,MCTS,3,1,0,0,28,753593,34.6822,5529,84.3062
0,Minimax,5,False,MCTS,3,1,0,0,7,344232,14.8778,1390,21.076
1,Minimax,5,False,MCTS,3,1,0,0,33,765302,46.167,8641,99.7318
2,Minimax,5,False,MCTS,3,1,0,0,3,201269,6.99182,467,9.03246
3,Minimax,5,False,MCTS,3,1,0,0,9,1002608,38.3248,2420,27.085
4,Minimax,5,False,MCTS,3,1,0,0,10,242827,9.30043,1762,30.0973
0,Minimax,5,False,MCTS,3,1,0,0,13,1524075,61.4142,3299,39.1193
1,Minimax,5,False,MCTS,3,1,0,0,35,701978,38.2436,10403,105.774
2,Minimax,5,False,MCTS,3,1,0,0,10,940881,34.4205,1876,30.0958
3,Minimax,5,False,MCTS,3,1,0,0,37,4174080,193.634,28579,112.61
4,Minimax,5,False,MCTS,3,1,0,0,157,5039615,603.003,51778,478.418
0,Minimax,5,False,MCTS,3,1,0,0,13,1122097,47.404,2722,39.1422
1,Minimax,5,False,MCTS,3,1,0,0,19,434829,22.1668,2792,57.2147
2,Minimax,5,False,MCTS,3,1,0,0,3,336596,12.2475,457,9.0302
3,Minimax,5,False,MCTS,3,1,0,0,7,809249,28.6741,2028,21.0724
