Endgame, White, Parameter, Move,number_of_evaluations
1,False,1,1,8
1,False,1,2,8
1,False,1,3,7
1,False,1,4,7
1,False,1,5,7
1,False,1,6,6
1,False,1,7,7
1,False,1,8,6
1,False,1,9,6
1,False,1,10,7
1,False,1,11,6
1,False,1,12,6
1,False,1,13,4
1,False,1,14,6
1,False,1,15,4
1,False,1,16,6
1,False,1,17,4
1,False,1,18,6
1,False,1,19,4
1,False,1,20,6
1,False,1,21,4
1,False,1,22,6
1,False,1,23,4
1,False,1,24,6
1,False,1,25,4
1,False,1,26,6
1,False,1,27,4
1,False,1,28,6
1,False,1,29,4
1,False,1,30,6
1,False,1,31,4
1,False,1,32,6
1,False,1,33,4
1,False,1,34,6
1,False,1,35,19
1,False,1,36,23
1,False,1,37,21
1,False,1,38,23
1,False,1,39,19
1,False,1,40,43
1,False,1,41,31
1,False,1,42,24
1,False,1,43,20
1,False,1,44,28
1,False,1,45,20
1,False,1,46,21
1,False,1,47,27
1,False,1,48,30
1,False,1,49,43
1,False,1,50,71
1,False,1,51,25
1,False,1,52,71
1,False,1,53,25
1,False,1,54,71
1,False,1,55,25
1,False,1,56,71
1,False,1,57,25
1,False,1,58,71
1,False,1,59,25
1,False,1,60,71
1,False,1,61,25
1,False,1,62,71
1,False,1,63,25
1,False,1,64,71
1,False,1,65,25
1,False,1,66,71
1,False,1,67,25
1,False,1,68,71
1,False,1,69,25
1,False,1,70,71
1,False,1,71,25
1,False,1,72,71
1,False,1,73,25
1,False,1,74,15
1,False,1,75,170
1,False,1,76,186
1,False,1,77,190
1,False,1,78,184
1,False,1,79,110
1,False,1,80,62
1,False,1,81,63
1,False,1,82,265
1,False,1,83,150
1,False,1,84,158
1,False,1,85,148
1,False,1,86,158
1,False,1,87,148
1,False,1,88,158
1,False,1,89,148
1,False,1,90,158
1,False,1,91,148
1,False,1,92,158
1,False,1,93,148
1,False,1,94,158
1,False,1,95,148
1,False,1,96,158
1,False,1,97,148
1,False,1,98,158
1,False,1,99,148
1,False,1,100,158
1,False,1,101,148
1,False,1,102,158
1,False,1,103,148
1,False,1,104,158
1,False,1,105,148
1,False,1,106,158
1,False,1,107,22
1,False,1,108,342
1,False,1,109,1219
1,False,1,110,351
1,False,1,111,426
1,False,1,112,806
1,False,1,113,771
1,False,1,114,1491
1,False,1,115,706
1,False,1,116,2211
1,False,1,117,9059
1,False,1,118,1591
1,False,1,119,1219
1,False,1,120,3269
1,False,1,121,1246
1,False,1,122,2684
1,False,1,123,1086
1,False,1,124,991
1,False,1,125,1305
1,False,1,126,991
1,False,1,127,1305
1,False,1,128,991
1,False,1,129,1305
1,False,1,130,991
1,False,1,131,1305
1,False,1,132,991
1,False,1,133,1305
1,False,1,134,991
1,False,1,135,1305
1,False,1,136,991
1,False,1,137,1305
1,False,1,138,991
1,False,1,139,1305
1,False,1,140,991
1,False,1,141,1305
1,False,1,142,991
1,False,1,143,1305
1,False,1,144,187
1,False,1,145,1755
1,False,1,146,2030
1,False,1,147,9538
1,False,1,148,3763
1,False,1,149,1629
1,False,1,150,1464
1,False,1,151,1629
1,False,1,152,1464
1,False,1,153,1629
1,False,1,154,1464
1,False,1,155,1629
1,False,1,156,1464
1,False,1,157,1629
1,False,1,158,1464
1,False,1,159,1629
1,False,1,160,1464
1,False,1,161,1629
1,False,1,162,1464
1,False,1,163,1629
1,False,1,164,1464
1,False,1,165,1629
1,False,1,166,1464
1,False,1,167,1629
1,False,1,168,1464
1,False,1,169,536
1,False,1,170,2060
1,False,1,171,1234
1,False,1,172,1155
1,False,1,173,1234
1,False,1,174,1155
1,False,1,175,1234
1,False,1,176,1155
1,False,1,177,1234
1,False,1,178,1155
1,False,1,179,1234
1,False,1,180,1155
1,False,1,181,1234
1,False,1,182,1155
1,False,1,183,1234
1,False,1,184,1155
1,False,1,185,1234
1,False,1,186,1155
1,False,1,187,1234
1,False,1,188,1155
1,False,1,189,1234
1,False,1,190,1155
1,False,1,191,1234
1,False,1,192,1155
1,False,1,193,1234
1,False,1,194,263
1,False,1,195,901
1,False,1,196,1666
1,False,1,197,1123
1,False,1,198,1999
1,False,1,199,1123
1,False,1,200,1999
1,False,1,201,1123
1,False,1,202,1999
1,False,1,203,1123
1,False,1,204,1999
1,False,1,205,1123
1,False,1,206,1999
1,False,1,207,1123
1,False,1,208,1999
1,False,1,209,1123
1,False,1,210,1999
1,False,1,211,1123
1,False,1,212,1999
1,False,1,213,1123
1,False,1,214,1999
1,False,1,215,1123
1,False,1,216,1999
1,False,1,217,1123
1,False,1,218,1999
1,False,1,219,321
1,False,1,220,1993
1,False,1,221,13847
1,False,1,222,3126
1,False,1,223,1300
1,False,1,224,1400
1,False,1,225,1147
1,False,1,226,1400
1,False,1,227,1147
1,False,1,228,1400
1,False,1,229,1147
1,False,1,230,1400
1,False,1,231,1147
1,False,1,232,1400
1,False,1,233,1147
1,False,1,234,1400
1,False,1,235,1147
1,False,1,236,1400
1,False,1,237,1147
1,False,1,238,1400
1,False,1,239,1147
1,False,1,240,1400
1,False,1,241,1147
1,False,1,242,1400
1,False,1,243,1147
1,False,1,244,420
1,False,1,245,2864
1,False,1,246,3593
1,False,1,247,1845
1,False,1,248,3593
1,False,1,249,1845
1,False,1,250,3593
1,False,1,251,1845
1,False,1,252,3593
1,False,1,253,1845
1,False,1,254,3593
1,False,1,255,1845
1,False,1,256,3593
1,False,1,257,1845
1,False,1,258,3593
1,False,1,259,1845
1,False,1,260,3593
1,False,1,261,1845
1,False,1,262,3593
1,False,1,263,1845
1,False,1,264,3593
1,False,1,265,1845
1,False,1,266,3593
1,False,1,267,1845
1,False,1,268,3593
1,False,1,269,676
1,False,1,270,5
1,False,1,271,2208
1,False,1,272,2732
1,False,1,273,912
1,False,1,274,1568
1,False,1,275,2574
1,False,1,276,2579
1,False,1,277,4409
1,False,1,278,2383
1,False,1,279,1861
1,False,1,280,2287
1,False,1,281,3735
1,False,1,282,2068
1,False,1,283,1458
1,False,1,284,3116
1,False,1,285,4193
1,False,1,286,9921
1,False,1,287,8965
1,False,1,288,4285
1,False,1,289,8965
1,False,1,290,4285
1,False,1,291,8965
1,False,1,292,4285
1,False,1,293,8965
1,False,1,294,4285
1,False,1,295,8965
1,False,1,296,4285
1,False,1,297,8965
1,False,1,298,4285
1,False,1,299,8965
1,False,1,300,4285
1,False,1,301,8965
1,False,1,302,4285
1,False,1,303,8965
1,False,1,304,4285
1,False,1,305,8965
1,False,1,306,4285
1,False,1,307,8965
1,False,1,308,4285
1,False,1,309,8965
1,False,1,310,3781
1,False,1,311,7118
1,False,1,312,5432
1,False,1,313,7723
1,False,1,314,5336
1,False,1,315,5680
1,False,1,316,7440
1,False,1,317,5680
1,False,1,318,7440
1,False,1,319,5680
1,False,1,320,7440
1,False,1,321,5680
1,False,1,322,7440
1,False,1,323,5680
1,False,1,324,7440
1,False,1,325,5680
1,False,1,326,7440
1,False,1,327,5680
1,False,1,328,7440
1,False,1,329,5680
1,False,1,330,7440
1,False,1,331,5680
1,False,1,332,7440
1,False,1,333,5680
1,False,1,334,7440
1,False,1,335,5680
1,False,1,336,7440
1,False,1,337,4357
1,False,1,338,7026
1,False,1,339,31286
1,False,1,340,39610
1,False,1,341,35322
1,False,1,342,41478
1,False,1,343,8
1,False,1,344,8
1,False,1,345,7
1,False,1,346,7
1,False,1,347,7
1,False,1,348,7
1,False,1,349,6
1,False,1,350,7
1,False,1,351,6
