Endgame, White, Parameter, Move,number_of_evaluations
3,False,1,1,8
3,False,1,2,8
3,False,1,3,7
3,False,1,4,7
3,False,1,5,7
3,False,1,6,6
3,False,1,7,7
3,False,1,8,6
3,False,1,9,6
3,False,1,10,7
3,False,1,11,6
3,False,1,12,6
3,False,1,13,4
3,False,1,14,6
3,False,1,15,4
3,False,1,16,6
3,False,1,17,4
3,False,1,18,6
3,False,1,19,4
3,False,1,20,6
3,False,1,21,4
3,False,1,22,6
3,False,1,23,4
3,False,1,24,6
3,False,1,25,4
3,False,1,26,6
3,False,1,27,4
3,False,1,28,6
3,False,1,29,4
3,False,1,30,6
3,False,1,31,4
3,False,1,32,6
3,False,1,33,4
3,False,1,34,6
3,False,1,35,19
3,False,1,36,23
3,False,1,37,21
3,False,1,38,23
3,False,1,39,19
3,False,1,40,43
3,False,1,41,31
3,False,1,42,24
3,False,1,43,20
3,False,1,44,28
3,False,1,45,20
3,False,1,46,21
3,False,1,47,27
3,False,1,48,30
3,False,1,49,43
3,False,1,50,71
3,False,1,51,25
3,False,1,52,71
3,False,1,53,25
3,False,1,54,71
3,False,1,55,25
3,False,1,56,71
3,False,1,57,25
3,False,1,58,71
3,False,1,59,25
3,False,1,60,71
3,False,1,61,25
3,False,1,62,71
3,False,1,63,25
3,False,1,64,71
3,False,1,65,25
3,False,1,66,71
3,False,1,67,25
3,False,1,68,71
3,False,1,69,25
3,False,1,70,71
3,False,1,71,25
3,False,1,72,71
3,False,1,73,25
3,False,1,74,15
3,False,1,75,170
3,False,1,76,186
3,False,1,77,190
3,False,1,78,184
3,False,1,79,110
3,False,1,80,62
3,False,1,81,63
3,False,1,82,265
3,False,1,83,150
3,False,1,84,158
3,False,1,85,148
3,False,1,86,158
3,False,1,87,148
3,False,1,88,158
3,False,1,89,148
3,False,1,90,158
3,False,1,91,148
3,False,1,92,158
3,False,1,93,148
3,False,1,94,158
3,False,1,95,148
3,False,1,96,158
3,False,1,97,148
3,False,1,98,158
3,False,1,99,148
3,False,1,100,158
3,False,1,101,148
3,False,1,102,158
3,False,1,103,148
3,False,1,104,158
3,False,1,105,148
3,False,1,106,158
3,False,1,107,22
3,False,1,108,342
3,False,1,109,1219
3,False,1,110,351
3,False,1,111,426
3,False,1,112,806
3,False,1,113,771
3,False,1,114,1491
3,False,1,115,706
3,False,1,116,2211
3,False,1,117,9059
3,False,1,118,1591
3,False,1,119,1219
3,False,1,120,3269
3,False,1,121,1246
3,False,1,122,2684
3,False,1,123,1086
3,False,1,124,991
3,False,1,125,1305
3,False,1,126,991
3,False,1,127,1305
3,False,1,128,991
3,False,1,129,1305
3,False,1,130,991
3,False,1,131,1305
3,False,1,132,991
3,False,1,133,1305
3,False,1,134,991
3,False,1,135,1305
3,False,1,136,991
3,False,1,137,1305
3,False,1,138,991
3,False,1,139,1305
3,False,1,140,991
3,False,1,141,1305
3,False,1,142,991
3,False,1,143,1305
3,False,1,144,187
3,False,1,145,1755
3,False,1,146,2030
3,False,1,147,9538
3,False,1,148,3763
3,False,1,149,1629
3,False,1,150,1464
3,False,1,151,1629
3,False,1,152,1464
3,False,1,153,1629
3,False,1,154,1464
3,False,1,155,1629
3,False,1,156,1464
3,False,1,157,1629
3,False,1,158,1464
3,False,1,159,1629
3,False,1,160,1464
3,False,1,161,1629
3,False,1,162,1464
3,False,1,163,1629
3,False,1,164,1464
3,False,1,165,1629
3,False,1,166,1464
3,False,1,167,1629
3,False,1,168,1464
3,False,1,169,536
3,False,1,170,2060
3,False,1,171,1234
3,False,1,172,1155
3,False,1,173,1234
3,False,1,174,1155
3,False,1,175,1234
3,False,1,176,1155
3,False,1,177,1234
3,False,1,178,1155
3,False,1,179,1234
3,False,1,180,1155
3,False,1,181,1234
3,False,1,182,1155
3,False,1,183,1234
3,False,1,184,1155
3,False,1,185,1234
3,False,1,186,1155
3,False,1,187,1234
3,False,1,188,1155
3,False,1,189,1234
3,False,1,190,1155
3,False,1,191,1234
3,False,1,192,1155
3,False,1,193,1234
3,False,1,194,263
3,False,1,195,901
3,False,1,196,1666
3,False,1,197,1123
3,False,1,198,1999
3,False,1,199,1123
3,False,1,200,1999
3,False,1,201,1123
3,False,1,202,1999
3,False,1,203,1123
3,False,1,204,1999
3,False,1,205,1123
3,False,1,206,1999
3,False,1,207,1123
3,False,1,208,1999
3,False,1,209,1123
3,False,1,210,1999
3,False,1,211,1123
3,False,1,212,1999
3,False,1,213,1123
3,False,1,214,1999
3,False,1,215,1123
3,False,1,216,1999
3,False,1,217,1123
3,False,1,218,1999
3,False,1,219,321
3,False,1,220,1993
3,False,1,221,13847
3,False,1,222,3126
3,False,1,223,1300
3,False,1,224,1400
3,False,1,225,1147
3,False,1,226,1400
3,False,1,227,1147
3,False,1,228,1400
3,False,1,229,1147
3,False,1,230,1400
3,False,1,231,1147
3,False,1,232,1400
3,False,1,233,1147
3,False,1,234,1400
3,False,1,235,1147
3,False,1,236,1400
3,False,1,237,1147
3,False,1,238,1400
3,False,1,239,1147
3,False,1,240,1400
3,False,1,241,1147
3,False,1,242,1400
3,False,1,243,1147
3,False,1,244,420
3,False,1,245,2864
3,False,1,246,3593
3,False,1,247,1845
3,False,1,248,3593
3,False,1,249,1845
3,False,1,250,3593
3,False,1,251,1845
3,False,1,252,3593
3,False,1,253,1845
3,False,1,254,3593
3,False,1,255,1845
3,False,1,256,3593
3,False,1,257,1845
3,False,1,258,3593
3,False,1,259,1845
3,False,1,260,3593
3,False,1,261,1845
3,False,1,262,3593
3,False,1,263,1845
3,False,1,264,3593
3,False,1,265,1845
3,False,1,266,3593
3,False,1,267,1845
3,False,1,268,3593
3,False,1,269,676
3,False,1,270,5
3,False,1,271,2208
3,False,1,272,2732
3,False,1,273,912
3,False,1,274,1568
3,False,1,275,2574
3,False,1,276,2579
3,False,1,277,4409
3,False,1,278,2383
3,False,1,279,1861
3,False,1,280,2287
3,False,1,281,3735
3,False,1,282,2068
3,False,1,283,1458
3,False,1,284,3116
3,False,1,285,4193
3,False,1,286,9921
3,False,1,287,8965
3,False,1,288,4285
3,False,1,289,8965
3,False,1,290,4285
3,False,1,291,8965
3,False,1,292,4285
3,False,1,293,8965
3,False,1,294,4285
3,False,1,295,8965
3,False,1,296,4285
3,False,1,297,8965
3,False,1,298,4285
3,False,1,299,8965
3,False,1,300,4285
3,False,1,301,8965
3,False,1,302,4285
3,False,1,303,8965
3,False,1,304,4285
3,False,1,305,8965
3,False,1,306,4285
3,False,1,307,8965
3,False,1,308,4285
3,False,1,309,8965
3,False,1,310,3781
3,False,1,311,7118
3,False,1,312,5432
3,False,1,313,7723
3,False,1,314,5336
3,False,1,315,5680
3,False,1,316,7440
3,False,1,317,5680
3,False,1,318,7440
3,False,1,319,5680
3,False,1,320,7440
3,False,1,321,5680
3,False,1,322,7440
3,False,1,323,5680
3,False,1,324,7440
3,False,1,325,5680
3,False,1,326,7440
3,False,1,327,5680
3,False,1,328,7440
3,False,1,329,5680
3,False,1,330,7440
3,False,1,331,5680
3,False,1,332,7440
3,False,1,333,5680
3,False,1,334,7440
3,False,1,335,5680
3,False,1,336,7440
3,False,1,337,4357
3,False,1,338,7026
3,False,1,339,31286
3,False,1,340,39610
3,False,1,341,35322
3,False,1,342,41478
3,False,1,343,8
3,False,1,344,8
3,False,1,345,7
3,False,1,346,7
3,False,1,347,7
3,False,1,348,7
3,False,1,349,6
3,False,1,350,7
3,False,1,351,6
3,False,1,352,6
3,False,1,353,7
3,False,1,354,6
3,False,1,355,6
3,False,1,356,4
3,False,1,357,6
3,False,1,358,4
3,False,1,359,6
3,False,1,360,4
3,False,1,361,6
3,False,1,362,4
3,False,1,363,6
3,False,1,364,4
3,False,1,365,6
3,False,1,366,4
3,False,1,367,6
3,False,1,368,4
3,False,1,369,6
3,False,1,370,4
3,False,1,371,6
3,False,1,372,4
3,False,1,373,6
3,False,1,374,4
3,False,1,375,6
3,False,1,376,4
3,False,1,377,7
3,False,1,378,6
3,False,1,379,4
3,False,1,380,6
3,False,1,381,4
3,False,1,382,6
3,False,1,383,4
3,False,1,384,6
3,False,1,385,4
3,False,1,386,6
3,False,1,387,4
3,False,1,388,6
3,False,1,389,4
3,False,1,390,6
3,False,1,391,4
3,False,1,392,6
3,False,1,393,4
3,False,1,394,6
3,False,1,395,4
3,False,1,396,6
3,False,1,397,4
3,False,1,398,6
3,False,1,399,4
3,False,1,400,6
3,False,1,401,4
3,False,1,402,6
3,False,1,403,19
3,False,1,404,30
3,False,1,405,34
3,False,1,406,22
3,False,1,407,20
3,False,1,408,37
3,False,1,409,71
3,False,1,410,77
3,False,1,411,65
3,False,1,412,75
3,False,1,413,45
3,False,1,414,30
3,False,1,415,45
3,False,1,416,30
3,False,1,417,45
3,False,1,418,30
3,False,1,419,45
3,False,1,420,30
3,False,1,421,45
3,False,1,422,30
3,False,1,423,45
3,False,1,424,30
3,False,1,425,45
3,False,1,426,30
3,False,1,427,45
3,False,1,428,30
3,False,1,429,45
3,False,1,430,30
3,False,1,431,45
3,False,1,432,30
3,False,1,433,45
3,False,1,434,30
3,False,1,435,45
3,False,1,436,30
3,False,1,437,37
3,False,1,438,46
3,False,1,439,30
3,False,1,440,125
3,False,1,441,64
3,False,1,442,170
3,False,1,443,138
3,False,1,444,156
3,False,1,445,104
3,False,1,446,67
3,False,1,447,140
3,False,1,448,130
3,False,1,449,134
3,False,1,450,226
3,False,1,451,162
3,False,1,452,226
3,False,1,453,162
3,False,1,454,226
3,False,1,455,162
3,False,1,456,226
3,False,1,457,162
3,False,1,458,226
3,False,1,459,162
3,False,1,460,226
3,False,1,461,162
3,False,1,462,226
3,False,1,463,162
3,False,1,464,226
3,False,1,465,162
3,False,1,466,226
3,False,1,467,162
3,False,1,468,226
3,False,1,469,162
3,False,1,470,226
3,False,1,471,162
3,False,1,472,226
3,False,1,473,162
3,False,1,474,117
3,False,1,475,178
3,False,1,476,35
3,False,1,477,104
3,False,1,478,94
3,False,1,479,208
3,False,1,480,105
3,False,1,481,197
3,False,1,482,101
3,False,1,483,92
3,False,1,484,101
3,False,1,485,92
3,False,1,486,101
3,False,1,487,92
3,False,1,488,101
3,False,1,489,92
3,False,1,490,101
3,False,1,491,92
3,False,1,492,101
3,False,1,493,92
3,False,1,494,101
3,False,1,495,92
3,False,1,496,101
3,False,1,497,92
3,False,1,498,101
3,False,1,499,92
3,False,1,500,101
3,False,1,501,92
3,False,1,502,101
3,False,1,503,92
3,False,1,504,56
3,False,1,505,67
3,False,1,506,62
3,False,1,507,67
3,False,1,508,62
3,False,1,509,67
3,False,1,510,62
3,False,1,511,67
3,False,1,512,62
3,False,1,513,67
3,False,1,514,62
3,False,1,515,67
3,False,1,516,62
3,False,1,517,67
3,False,1,518,62
3,False,1,519,67
3,False,1,520,62
3,False,1,521,67
3,False,1,522,62
3,False,1,523,67
3,False,1,524,62
3,False,1,525,67
3,False,1,526,62
3,False,1,527,67
3,False,1,528,62
3,False,1,529,55
3,False,1,530,60
3,False,1,531,55
3,False,1,532,40
3,False,1,533,342
3,False,1,534,454
3,False,1,535,665
3,False,1,536,596
