Endgame, White, Parameter, Move,evaluation_function
1,False,4,1,10
1,False,4,2,-60
1,False,4,3,30
1,False,4,4,30
1,False,4,5,30
1,False,4,6,40
1,False,4,7,40
1,False,4,8,40
1,False,4,9,30
1,False,4,10,30
1,False,4,11,30
1,False,4,12,30
1,False,4,13,30
1,False,4,14,30
1,False,4,15,30
1,False,4,16,30
1,False,4,17,30
1,False,4,18,30
1,False,4,19,30
1,False,4,20,30
1,False,4,21,30
1,False,4,22,30
1,False,4,23,30
1,False,4,24,30
1,False,4,25,30
1,False,4,26,30
1,False,4,27,30
1,False,4,28,30
1,False,4,29,30
1,False,4,30,30
1,False,4,31,30
1,False,4,32,30
1,False,4,33,30
1,False,4,34,30
1,False,4,35,10
1,False,4,36,10
1,False,4,37,10
1,False,4,38,10
1,False,4,39,0
1,False,4,40,-10
1,False,4,41,-20
1,False,4,42,-20
1,False,4,43,-20
1,False,4,44,-20
1,False,4,45,-20
1,False,4,46,-20
1,False,4,47,-20
1,False,4,48,-10
1,False,4,49,0
1,False,4,50,0
1,False,4,51,0
1,False,4,52,0
1,False,4,53,0
1,False,4,54,0
1,False,4,55,0
1,False,4,56,0
1,False,4,57,0
1,False,4,58,0
1,False,4,59,0
1,False,4,60,0
1,False,4,61,0
1,False,4,62,0
1,False,4,63,0
1,False,4,64,0
1,False,4,65,0
1,False,4,66,0
1,False,4,67,0
1,False,4,68,0
1,False,4,69,0
1,False,4,70,0
1,False,4,71,0
1,False,4,72,0
1,False,4,73,0
1,False,4,74,0
1,False,4,75,20
1,False,4,76,20
1,False,4,77,30
1,False,4,78,30
1,False,4,79,0
1,False,4,80,-80
1,False,4,81,-80
1,False,4,82,-80
1,False,4,83,-80
1,False,4,84,-80
1,False,4,85,-80
1,False,4,86,-80
1,False,4,87,-80
1,False,4,88,-80
1,False,4,89,-80
1,False,4,90,-80
1,False,4,91,-80
1,False,4,92,-80
1,False,4,93,-80
1,False,4,94,-80
1,False,4,95,-80
1,False,4,96,-80
1,False,4,97,-80
1,False,4,98,-80
1,False,4,99,-80
1,False,4,100,-80
1,False,4,101,-80
1,False,4,102,-80
1,False,4,103,-80
1,False,4,104,-80
1,False,4,105,-80
1,False,4,106,-80
1,False,4,107,0
1,False,4,108,10
1,False,4,109,20
1,False,4,110,20
1,False,4,111,10
1,False,4,112,10
1,False,4,113,10
1,False,4,114,-20
1,False,4,115,-70
1,False,4,116,-80
1,False,4,117,-90
1,False,4,118,-90
1,False,4,119,-90
1,False,4,120,-90
1,False,4,121,-120
1,False,4,122,-120
1,False,4,123,-90
1,False,4,124,-90
1,False,4,125,-90
1,False,4,126,-90
1,False,4,127,-90
1,False,4,128,-90
1,False,4,129,-90
1,False,4,130,-90
1,False,4,131,-90
1,False,4,132,-90
1,False,4,133,-90
1,False,4,134,-90
1,False,4,135,-90
1,False,4,136,-90
1,False,4,137,-90
1,False,4,138,-90
1,False,4,139,-90
1,False,4,140,-90
1,False,4,141,-90
1,False,4,142,-90
1,False,4,143,-90
1,False,4,144,-90
1,False,4,145,-90
1,False,4,146,-90
1,False,4,147,-110
1,False,4,148,-90
1,False,4,149,-120
1,False,4,150,-90
1,False,4,151,-120
1,False,4,152,-90
1,False,4,153,-120
1,False,4,154,-90
1,False,4,155,-120
1,False,4,156,-90
1,False,4,157,-120
1,False,4,158,-90
1,False,4,159,-120
1,False,4,160,-90
1,False,4,161,-120
1,False,4,162,-90
1,False,4,163,-120
1,False,4,164,-90
1,False,4,165,-120
1,False,4,166,-90
1,False,4,167,-120
1,False,4,168,-90
1,False,4,169,-90
1,False,4,170,-90
1,False,4,171,-90
1,False,4,172,-90
1,False,4,173,-90
1,False,4,174,-90
1,False,4,175,-90
1,False,4,176,-90
1,False,4,177,-90
1,False,4,178,-90
1,False,4,179,-90
1,False,4,180,-90
1,False,4,181,-90
1,False,4,182,-90
1,False,4,183,-90
1,False,4,184,-90
1,False,4,185,-90
1,False,4,186,-90
1,False,4,187,-90
1,False,4,188,-90
1,False,4,189,-90
1,False,4,190,-90
1,False,4,191,-90
1,False,4,192,-90
1,False,4,193,-90
1,False,4,194,-80
1,False,4,195,-80
1,False,4,196,-90
1,False,4,197,-120
1,False,4,198,-90
1,False,4,199,-120
1,False,4,200,-90
1,False,4,201,-120
1,False,4,202,-90
1,False,4,203,-120
1,False,4,204,-90
1,False,4,205,-120
1,False,4,206,-90
1,False,4,207,-120
1,False,4,208,-90
1,False,4,209,-120
1,False,4,210,-90
1,False,4,211,-120
1,False,4,212,-90
1,False,4,213,-120
1,False,4,214,-90
1,False,4,215,-120
1,False,4,216,-90
1,False,4,217,-120
1,False,4,218,-90
1,False,4,219,-90
1,False,4,220,-90
1,False,4,221,-90
1,False,4,222,-110
1,False,4,223,-90
1,False,4,224,-90
1,False,4,225,-90
1,False,4,226,-90
1,False,4,227,-90
1,False,4,228,-90
1,False,4,229,-90
1,False,4,230,-90
1,False,4,231,-90
1,False,4,232,-90
1,False,4,233,-90
1,False,4,234,-90
1,False,4,235,-90
1,False,4,236,-90
1,False,4,237,-90
1,False,4,238,-90
1,False,4,239,-90
1,False,4,240,-90
1,False,4,241,-90
1,False,4,242,-90
1,False,4,243,-90
1,False,4,244,-80
1,False,4,245,-160
1,False,4,246,-160
1,False,4,247,-160
1,False,4,248,-160
1,False,4,249,-160
1,False,4,250,-160
1,False,4,251,-160
1,False,4,252,-160
1,False,4,253,-160
1,False,4,254,-160
1,False,4,255,-160
1,False,4,256,-160
1,False,4,257,-160
1,False,4,258,-160
1,False,4,259,-160
1,False,4,260,-160
1,False,4,261,-160
1,False,4,262,-160
1,False,4,263,-160
1,False,4,264,-160
1,False,4,265,-160
1,False,4,266,-160
1,False,4,267,-160
1,False,4,268,-160
1,False,4,269,-160
1,False,4,270,0
1,False,4,271,20
1,False,4,272,20
1,False,4,273,20
1,False,4,274,20
1,False,4,275,20
1,False,4,276,10
1,False,4,277,0
1,False,4,278,0
1,False,4,279,0
1,False,4,280,0
1,False,4,281,0
1,False,4,282,0
1,False,4,283,0
1,False,4,284,0
1,False,4,285,10
1,False,4,286,20
1,False,4,287,20
1,False,4,288,20
1,False,4,289,20
1,False,4,290,20
1,False,4,291,20
1,False,4,292,20
1,False,4,293,20
1,False,4,294,20
1,False,4,295,20
1,False,4,296,20
1,False,4,297,20
1,False,4,298,20
1,False,4,299,20
1,False,4,300,20
1,False,4,301,20
1,False,4,302,20
1,False,4,303,20
1,False,4,304,20
1,False,4,305,20
1,False,4,306,20
1,False,4,307,20
1,False,4,308,20
1,False,4,309,20
1,False,4,310,10
1,False,4,311,10
1,False,4,312,90
1,False,4,313,100
1,False,4,314,100
1,False,4,315,100
1,False,4,316,100
1,False,4,317,100
1,False,4,318,100
1,False,4,319,100
1,False,4,320,100
1,False,4,321,100
1,False,4,322,100
1,False,4,323,100
1,False,4,324,100
1,False,4,325,100
1,False,4,326,100
1,False,4,327,100
1,False,4,328,100
1,False,4,329,100
1,False,4,330,100
1,False,4,331,100
1,False,4,332,100
1,False,4,333,100
1,False,4,334,100
1,False,4,335,100
1,False,4,336,100
1,False,4,337,100
1,False,4,338,100
1,False,4,339,110
1,False,4,340,990
1,False,4,341,990
1,False,4,342,990
1,False,4,343,-70
1,False,4,344,20
1,False,4,345,30
1,False,4,346,30
1,False,4,347,30
1,False,4,348,-50
1,False,4,349,40
1,False,4,350,40
1,False,4,351,40
1,False,4,352,30
1,False,4,353,30
1,False,4,354,30
1,False,4,355,30
1,False,4,356,30
1,False,4,357,30
1,False,4,358,30
1,False,4,359,30
1,False,4,360,30
1,False,4,361,30
1,False,4,362,30
1,False,4,363,30
1,False,4,364,30
1,False,4,365,30
1,False,4,366,30
1,False,4,367,30
1,False,4,368,30
1,False,4,369,30
1,False,4,370,30
1,False,4,371,30
1,False,4,372,30
1,False,4,373,30
1,False,4,374,30
1,False,4,375,30
1,False,4,376,30
1,False,4,377,10
1,False,4,378,10
1,False,4,379,10
1,False,4,380,10
1,False,4,381,10
1,False,4,382,10
1,False,4,383,10
1,False,4,384,10
1,False,4,385,10
1,False,4,386,10
1,False,4,387,10
1,False,4,388,10
1,False,4,389,10
1,False,4,390,10
1,False,4,391,10
1,False,4,392,10
1,False,4,393,10
1,False,4,394,10
1,False,4,395,10
1,False,4,396,10
1,False,4,397,10
1,False,4,398,10
1,False,4,399,10
1,False,4,400,10
1,False,4,401,10
1,False,4,402,10
1,False,4,403,10
1,False,4,404,-60
1,False,4,405,20
1,False,4,406,20
1,False,4,407,-60
1,False,4,408,-90
1,False,4,409,-90
1,False,4,410,-90
1,False,4,411,-90
1,False,4,412,-90
1,False,4,413,-90
1,False,4,414,-90
1,False,4,415,-90
1,False,4,416,-90
1,False,4,417,-90
1,False,4,418,-90
1,False,4,419,-90
1,False,4,420,-90
1,False,4,421,-90
1,False,4,422,-90
1,False,4,423,-90
1,False,4,424,-90
1,False,4,425,-90
1,False,4,426,-90
1,False,4,427,-90
1,False,4,428,-90
1,False,4,429,-90
1,False,4,430,-90
1,False,4,431,-90
1,False,4,432,-90
1,False,4,433,-90
1,False,4,434,-90
1,False,4,435,-90
1,False,4,436,-90
1,False,4,437,-90
1,False,4,438,-170
1,False,4,439,-180
1,False,4,440,-190
1,False,4,441,-190
1,False,4,442,20
1,False,4,443,20
1,False,4,444,20
1,False,4,445,20
1,False,4,446,30
1,False,4,447,30
1,False,4,448,30
1,False,4,449,20
1,False,4,450,20
1,False,4,451,20
1,False,4,452,20
1,False,4,453,20
1,False,4,454,20
1,False,4,455,20
1,False,4,456,20
1,False,4,457,20
1,False,4,458,20
1,False,4,459,20
1,False,4,460,20
1,False,4,461,20
1,False,4,462,20
1,False,4,463,20
1,False,4,464,20
1,False,4,465,20
1,False,4,466,20
1,False,4,467,20
1,False,4,468,20
1,False,4,469,20
1,False,4,470,20
1,False,4,471,20
1,False,4,472,20
1,False,4,473,20
1,False,4,474,0
1,False,4,475,-10
1,False,4,476,-10
1,False,4,477,-90
1,False,4,478,-100
1,False,4,479,-110
1,False,4,480,-120
1,False,4,481,-120
1,False,4,482,-120
1,False,4,483,-120
1,False,4,484,-120
1,False,4,485,-120
1,False,4,486,-120
1,False,4,487,-120
1,False,4,488,-120
1,False,4,489,-120
1,False,4,490,-120
1,False,4,491,-120
1,False,4,492,-120
1,False,4,493,-120
1,False,4,494,-120
1,False,4,495,-120
1,False,4,496,-120
1,False,4,497,-120
1,False,4,498,-120
1,False,4,499,-120
1,False,4,500,-120
1,False,4,501,-120
1,False,4,502,-120
1,False,4,503,-120
1,False,4,504,-120
