Endgame, White, Parameter, Move,processing_time
1,True,3,1,0.0016872
1,True,3,2,0.0023479
1,True,3,3,0.0027027
1,True,3,4,0.0021286
1,True,3,5,0.0018567
1,True,3,6,0.0015195
1,True,3,7,0.0020426
1,True,3,8,0.0029188
1,True,3,9,0.002437
1,True,3,10,0.0026331
1,True,3,11,0.001885
1,True,3,12,0.001689
1,True,3,13,0.0012217
1,True,3,14,0.0021291
1,True,3,15,0.0012425
1,True,3,16,0.0022605
1,True,3,17,0.0014858
1,True,3,18,0.0023594
1,True,3,19,0.0013917
1,True,3,20,0.0024167
1,True,3,21,0.0014558
1,True,3,22,0.0025236
1,True,3,23,0.001517
1,True,3,24,0.0027904
1,True,3,25,0.001586
1,True,3,26,0.0027754
1,True,3,27,0.0016548
1,True,3,28,0.0028608
1,True,3,29,0.0017133
1,True,3,30,0.0037551
1,True,3,31,0.0017837
1,True,3,32,0.003113
1,True,3,33,0.001863
1,True,3,34,0.0032342
1,True,3,35,8.93e-05
1,True,3,36,0.0015841
1,True,3,37,0.0016568
1,True,3,38,0.0019441
1,True,3,39,0.0019061
1,True,3,40,0.0016479
1,True,3,41,0.0017842
1,True,3,42,0.0019827
1,True,3,43,0.0018981
1,True,3,44,0.0022529
1,True,3,45,0.0027456
1,True,3,46,0.0023687
1,True,3,47,0.0020639
1,True,3,48,0.0032706
1,True,3,49,0.0045401
1,True,3,50,0.0019262
1,True,3,51,0.002374
1,True,3,52,0.0020398
1,True,3,53,0.0022649
1,True,3,54,0.0020501
1,True,3,55,0.0040906
1,True,3,56,0.0025624
1,True,3,57,0.0040382
1,True,3,58,0.0023792
1,True,3,59,0.0065662
1,True,3,60,0.002621
1,True,3,61,0.0028616
1,True,3,62,0.0025658
1,True,3,63,0.0031066
1,True,3,64,0.0026615
1,True,3,65,0.0029197
1,True,3,66,0.0026167
1,True,3,67,0.003089
1,True,3,68,0.0027393
1,True,3,69,0.0033821
1,True,3,70,0.0030249
1,True,3,71,0.0032798
1,True,3,72,0.0029227
1,True,3,73,0.0035672
1,True,3,74,0.0031915
1,True,3,75,0.0001008
1,True,3,76,0.0021599
1,True,3,77,0.0023288
1,True,3,78,0.002478
1,True,3,79,0.0026929
1,True,3,80,0.0015172
1,True,3,81,0.0013697
1,True,3,82,0.0046952
1,True,3,83,0.0054012
1,True,3,84,0.0054064
1,True,3,85,0.006246
1,True,3,86,0.005484
1,True,3,87,0.0055122
1,True,3,88,0.0057754
1,True,3,89,0.0061003
1,True,3,90,0.0062145
1,True,3,91,0.0080654
1,True,3,92,0.006404
1,True,3,93,0.0072801
1,True,3,94,0.0062438
1,True,3,95,0.0066015
1,True,3,96,0.007093
1,True,3,97,0.0088416
1,True,3,98,0.0084419
1,True,3,99,0.0078905
1,True,3,100,0.0075638
1,True,3,101,0.0079769
1,True,3,102,0.0075923
1,True,3,103,0.0081305
1,True,3,104,0.007742
1,True,3,105,0.0085249
1,True,3,106,0.0107638
1,True,3,107,0.0168303
1,True,3,108,0.000185
1,True,3,109,0.0023303
1,True,3,110,0.0016606
1,True,3,111,0.0021403
1,True,3,112,0.0027027
1,True,3,113,0.0024459
1,True,3,114,0.0014697
1,True,3,115,0.0022532
1,True,3,116,0.0024536
1,True,3,117,0.0058593
1,True,3,118,0.0060356
1,True,3,119,0.0052248
1,True,3,120,0.0047959
1,True,3,121,0.0053047
1,True,3,122,0.0063071
1,True,3,123,0.0075301
1,True,3,124,0.0053412
1,True,3,125,0.0083866
1,True,3,126,0.0062932
1,True,3,127,0.0062299
1,True,3,128,0.0088408
1,True,3,129,0.0069233
1,True,3,130,0.0067441
1,True,3,131,0.0067764
1,True,3,132,0.0074923
1,True,3,133,0.0073964
1,True,3,134,0.0074202
1,True,3,135,0.0083237
1,True,3,136,0.0088563
1,True,3,137,0.0104246
1,True,3,138,0.0087764
1,True,3,139,0.008491
1,True,3,140,0.0093792
1,True,3,141,0.0098754
1,True,3,142,0.0114573
1,True,3,143,0.0092685
1,True,3,144,0.0097146
1,True,3,145,0.0043555
1,True,3,146,0.0093979
1,True,3,147,0.0124197
1,True,3,148,0.0128418
1,True,3,149,0.0113658
1,True,3,150,0.0112994
1,True,3,151,0.0114684
1,True,3,152,0.011207
1,True,3,153,0.0119782
1,True,3,154,0.0115331
1,True,3,155,0.0126324
1,True,3,156,0.0133039
1,True,3,157,0.013899
1,True,3,158,0.0129913
1,True,3,159,0.0154562
1,True,3,160,0.0144824
1,True,3,161,0.0134211
1,True,3,162,0.0135306
1,True,3,163,0.0164042
1,True,3,164,0.0133684
1,True,3,165,0.014209
1,True,3,166,0.0153851
1,True,3,167,0.0143626
1,True,3,168,0.014154
1,True,3,169,0.0164602
1,True,3,170,0.0065132
1,True,3,171,0.0135991
1,True,3,172,0.015296
1,True,3,173,0.0144424
1,True,3,174,0.0144821
1,True,3,175,0.0165782
1,True,3,176,0.0172986
1,True,3,177,0.0175979
1,True,3,178,0.0157342
1,True,3,179,0.0172639
1,True,3,180,0.0174738
1,True,3,181,0.0152854
1,True,3,182,0.016773
1,True,3,183,0.0159822
1,True,3,184,0.0184884
1,True,3,185,0.0169077
1,True,3,186,0.0187117
1,True,3,187,0.0165242
1,True,3,188,0.0196687
1,True,3,189,0.0202551
1,True,3,190,0.0169702
1,True,3,191,0.0170468
1,True,3,192,0.0178183
1,True,3,193,0.0201805
1,True,3,194,0.0176206
1,True,3,195,0.0070735
1,True,3,196,0.0068383
1,True,3,197,0.0219553
1,True,3,198,0.0157445
1,True,3,199,0.0177793
1,True,3,200,0.0185493
1,True,3,201,0.0182327
1,True,3,202,0.0153181
1,True,3,203,0.0180126
1,True,3,204,0.0156745
1,True,3,205,0.0184098
1,True,3,206,0.01723
1,True,3,207,0.0208034
1,True,3,208,0.0184983
1,True,3,209,0.0210468
1,True,3,210,0.0178811
1,True,3,211,0.0208872
1,True,3,212,0.0169402
1,True,3,213,0.0208823
1,True,3,214,0.0175623
1,True,3,215,0.0212356
1,True,3,216,0.0177108
1,True,3,217,0.0221494
1,True,3,218,0.0195824
1,True,3,219,0.0209154
1,True,3,220,0.0082276
1,True,3,221,0.0238794
1,True,3,222,0.0263269
1,True,3,223,0.0180925
1,True,3,224,0.0193953
1,True,3,225,0.0240716
1,True,3,226,0.0191881
1,True,3,227,0.0231736
1,True,3,228,0.0197568
1,True,3,229,0.0284995
1,True,3,230,0.0218086
1,True,3,231,0.0235229
1,True,3,232,0.0215281
1,True,3,233,0.0237293
1,True,3,234,0.0192693
1,True,3,235,0.024141
1,True,3,236,0.0234658
1,True,3,237,0.0266708
1,True,3,238,0.0209493
1,True,3,239,0.0252638
1,True,3,240,0.0216415
1,True,3,241,0.025104
1,True,3,242,0.0204192
1,True,3,243,0.029515
1,True,3,244,0.02081
1,True,3,245,0.0107447
1,True,3,246,0.0270603
1,True,3,247,0.0267097
1,True,3,248,0.0259515
1,True,3,249,0.0243899
1,True,3,250,0.0268652
