Endgame, White, Parameter, Move,processing_time
4,True,2,1,0.0016872
4,True,2,2,0.0023479
4,True,2,3,0.0027027
4,True,2,4,0.0021286
4,True,2,5,0.0018567
4,True,2,6,0.0015195
4,True,2,7,0.0020426
4,True,2,8,0.0029188
4,True,2,9,0.002437
4,True,2,10,0.0026331
4,True,2,11,0.001885
4,True,2,12,0.001689
4,True,2,13,0.0012217
4,True,2,14,0.0021291
4,True,2,15,0.0012425
4,True,2,16,0.0022605
4,True,2,17,0.0014858
4,True,2,18,0.0023594
4,True,2,19,0.0013917
4,True,2,20,0.0024167
4,True,2,21,0.0014558
4,True,2,22,0.0025236
4,True,2,23,0.001517
4,True,2,24,0.0027904
4,True,2,25,0.001586
4,True,2,26,0.0027754
4,True,2,27,0.0016548
4,True,2,28,0.0028608
4,True,2,29,0.0017133
4,True,2,30,0.0037551
4,True,2,31,0.0017837
4,True,2,32,0.003113
4,True,2,33,0.001863
4,True,2,34,0.0032342
4,True,2,35,8.93e-05
4,True,2,36,0.0015841
4,True,2,37,0.0016568
4,True,2,38,0.0019441
4,True,2,39,0.0019061
4,True,2,40,0.0016479
4,True,2,41,0.0017842
4,True,2,42,0.0019827
4,True,2,43,0.0018981
4,True,2,44,0.0022529
4,True,2,45,0.0027456
4,True,2,46,0.0023687
4,True,2,47,0.0020639
4,True,2,48,0.0032706
4,True,2,49,0.0045401
4,True,2,50,0.0019262
4,True,2,51,0.002374
4,True,2,52,0.0020398
4,True,2,53,0.0022649
4,True,2,54,0.0020501
4,True,2,55,0.0040906
4,True,2,56,0.0025624
4,True,2,57,0.0040382
4,True,2,58,0.0023792
4,True,2,59,0.0065662
4,True,2,60,0.002621
4,True,2,61,0.0028616
4,True,2,62,0.0025658
4,True,2,63,0.0031066
4,True,2,64,0.0026615
4,True,2,65,0.0029197
4,True,2,66,0.0026167
4,True,2,67,0.003089
4,True,2,68,0.0027393
4,True,2,69,0.0033821
4,True,2,70,0.0030249
4,True,2,71,0.0032798
4,True,2,72,0.0029227
4,True,2,73,0.0035672
4,True,2,74,0.0031915
4,True,2,75,0.0001008
4,True,2,76,0.0021599
4,True,2,77,0.0023288
4,True,2,78,0.002478
4,True,2,79,0.0026929
4,True,2,80,0.0015172
4,True,2,81,0.0013697
4,True,2,82,0.0046952
4,True,2,83,0.0054012
4,True,2,84,0.0054064
4,True,2,85,0.006246
4,True,2,86,0.005484
4,True,2,87,0.0055122
4,True,2,88,0.0057754
4,True,2,89,0.0061003
4,True,2,90,0.0062145
4,True,2,91,0.0080654
4,True,2,92,0.006404
4,True,2,93,0.0072801
4,True,2,94,0.0062438
4,True,2,95,0.0066015
4,True,2,96,0.007093
4,True,2,97,0.0088416
4,True,2,98,0.0084419
4,True,2,99,0.0078905
4,True,2,100,0.0075638
4,True,2,101,0.0079769
4,True,2,102,0.0075923
4,True,2,103,0.0081305
4,True,2,104,0.007742
4,True,2,105,0.0085249
4,True,2,106,0.0107638
4,True,2,107,0.0168303
4,True,2,108,0.000185
4,True,2,109,0.0023303
4,True,2,110,0.0016606
4,True,2,111,0.0021403
4,True,2,112,0.0027027
4,True,2,113,0.0024459
4,True,2,114,0.0014697
4,True,2,115,0.0022532
4,True,2,116,0.0024536
4,True,2,117,0.0058593
4,True,2,118,0.0060356
4,True,2,119,0.0052248
4,True,2,120,0.0047959
4,True,2,121,0.0053047
4,True,2,122,0.0063071
4,True,2,123,0.0075301
4,True,2,124,0.0053412
4,True,2,125,0.0083866
4,True,2,126,0.0062932
4,True,2,127,0.0062299
4,True,2,128,0.0088408
4,True,2,129,0.0069233
4,True,2,130,0.0067441
4,True,2,131,0.0067764
4,True,2,132,0.0074923
4,True,2,133,0.0073964
4,True,2,134,0.0074202
4,True,2,135,0.0083237
4,True,2,136,0.0088563
4,True,2,137,0.0104246
4,True,2,138,0.0087764
4,True,2,139,0.008491
4,True,2,140,0.0093792
4,True,2,141,0.0098754
4,True,2,142,0.0114573
4,True,2,143,0.0092685
4,True,2,144,0.0097146
4,True,2,145,0.0043555
4,True,2,146,0.0093979
4,True,2,147,0.0124197
4,True,2,148,0.0128418
4,True,2,149,0.0113658
4,True,2,150,0.0112994
4,True,2,151,0.0114684
4,True,2,152,0.011207
4,True,2,153,0.0119782
4,True,2,154,0.0115331
4,True,2,155,0.0126324
4,True,2,156,0.0133039
4,True,2,157,0.013899
4,True,2,158,0.0129913
4,True,2,159,0.0154562
4,True,2,160,0.0144824
4,True,2,161,0.0134211
4,True,2,162,0.0135306
4,True,2,163,0.0164042
4,True,2,164,0.0133684
4,True,2,165,0.014209
4,True,2,166,0.0153851
4,True,2,167,0.0143626
4,True,2,168,0.014154
4,True,2,169,0.0164602
4,True,2,170,0.0065132
4,True,2,171,0.0135991
4,True,2,172,0.015296
4,True,2,173,0.0144424
4,True,2,174,0.0144821
4,True,2,175,0.0165782
4,True,2,176,0.0172986
4,True,2,177,0.0175979
4,True,2,178,0.0157342
4,True,2,179,0.0172639
4,True,2,180,0.0174738
4,True,2,181,0.0152854
4,True,2,182,0.016773
4,True,2,183,0.0159822
4,True,2,184,0.0184884
4,True,2,185,0.0169077
4,True,2,186,0.0187117
4,True,2,187,0.0165242
4,True,2,188,0.0196687
4,True,2,189,0.0202551
4,True,2,190,0.0169702
4,True,2,191,0.0170468
4,True,2,192,0.0178183
4,True,2,193,0.0201805
4,True,2,194,0.0176206
4,True,2,195,0.0070735
4,True,2,196,0.0068383
4,True,2,197,0.0219553
4,True,2,198,0.0157445
4,True,2,199,0.0177793
4,True,2,200,0.0185493
4,True,2,201,0.0182327
4,True,2,202,0.0153181
4,True,2,203,0.0180126
4,True,2,204,0.0156745
4,True,2,205,0.0184098
4,True,2,206,0.01723
4,True,2,207,0.0208034
4,True,2,208,0.0184983
4,True,2,209,0.0210468
4,True,2,210,0.0178811
4,True,2,211,0.0208872
4,True,2,212,0.0169402
4,True,2,213,0.0208823
4,True,2,214,0.0175623
4,True,2,215,0.0212356
4,True,2,216,0.0177108
