Endgame, White, Parameter, Move,processing_time
2,False,2,1,0.000308
2,False,2,2,0.0003465
2,False,2,3,0.0003251
2,False,2,4,0.0003141
2,False,2,5,0.0003256
2,False,2,6,0.0002777
2,False,2,7,0.0003162
2,False,2,8,0.0003186
2,False,2,9,0.0003547
2,False,2,10,0.0003248
2,False,2,11,0.0002806
2,False,2,12,0.000254
2,False,2,13,0.0002105
2,False,2,14,0.0002768
2,False,2,15,0.0002148
2,False,2,16,0.0004242
2,False,2,17,0.0002443
2,False,2,18,0.0002915
2,False,2,19,0.0002407
2,False,2,20,0.0003063
2,False,2,21,0.0002522
2,False,2,22,0.0003198
2,False,2,23,0.0002773
2,False,2,24,0.0003341
2,False,2,25,0.0002749
2,False,2,26,0.0003484
2,False,2,27,0.0002864
2,False,2,28,0.0003611
2,False,2,29,0.0002974
2,False,2,30,0.000378
2,False,2,31,0.000309
2,False,2,32,0.0003934
2,False,2,33,0.0003209
2,False,2,34,0.0004077
2,False,2,35,0.0015442
2,False,2,36,0.001966
2,False,2,37,0.0016727
2,False,2,38,0.0017308
2,False,2,39,0.0012009
2,False,2,40,0.0022966
2,False,2,41,0.0015922
2,False,2,42,0.002253
2,False,2,43,0.0015742
2,False,2,44,0.0023063
2,False,2,45,0.0016476
2,False,2,46,0.0022247
2,False,2,47,0.0014758
2,False,2,48,0.003066
2,False,2,49,0.0040561
2,False,2,50,0.0044498
2,False,2,51,0.0025851
2,False,2,52,0.0048179
2,False,2,53,0.0025198
2,False,2,54,0.0050106
2,False,2,55,0.0032603
2,False,2,56,0.0057122
2,False,2,57,0.0031568
2,False,2,58,0.0052103
2,False,2,59,0.0044517
2,False,2,60,0.0062606
2,False,2,61,0.0031375
2,False,2,62,0.005983
2,False,2,63,0.0032463
2,False,2,64,0.0060207
2,False,2,65,0.0032477
2,False,2,66,0.006125
2,False,2,67,0.0033922
2,False,2,68,0.0065746
2,False,2,69,0.0039423
2,False,2,70,0.0064665
2,False,2,71,0.0035086
2,False,2,72,0.0073423
2,False,2,73,0.0038287
2,False,2,74,0.002405
2,False,2,75,0.0069077
2,False,2,76,0.0092507
2,False,2,77,0.0096965
2,False,2,78,0.0103482
2,False,2,79,0.0090368
2,False,2,80,0.0043973
2,False,2,81,0.0056456
2,False,2,82,0.0202575
2,False,2,83,0.011526
2,False,2,84,0.01132
2,False,2,85,0.0144314
2,False,2,86,0.0124678
2,False,2,87,0.0136599
2,False,2,88,0.0148407
2,False,2,89,0.0162225
2,False,2,90,0.0142723
2,False,2,91,0.0153982
2,False,2,92,0.0161504
2,False,2,93,0.0149151
2,False,2,94,0.0145121
2,False,2,95,0.0176269
2,False,2,96,0.0159717
2,False,2,97,0.019203
2,False,2,98,0.0218557
2,False,2,99,0.0187917
2,False,2,100,0.0170745
2,False,2,101,0.0174244
2,False,2,102,0.0179491
2,False,2,103,0.0178564
2,False,2,104,0.0183912
2,False,2,105,0.018961
2,False,2,106,0.0272008
2,False,2,107,0.0048929
2,False,2,108,0.0271271
2,False,2,109,0.0601623
2,False,2,110,0.0331335
2,False,2,111,0.0349728
2,False,2,112,0.0758344
2,False,2,113,0.086346
2,False,2,114,0.188943
2,False,2,115,0.0738189
2,False,2,116,0.121675
2,False,2,117,0.43963
2,False,2,118,0.0713213
2,False,2,119,0.0738218
2,False,2,120,0.186522
2,False,2,121,0.0653591
2,False,2,122,0.121077
2,False,2,123,0.0518922
2,False,2,124,0.0483832
2,False,2,125,0.0633604
2,False,2,126,0.0489096
2,False,2,127,0.0651075
2,False,2,128,0.0545185
2,False,2,129,0.0653324
2,False,2,130,0.050928
2,False,2,131,0.0715579
2,False,2,132,0.0530358
2,False,2,133,0.0679132
2,False,2,134,0.0626347
2,False,2,135,0.0767772
2,False,2,136,0.0587535
2,False,2,137,0.0799923
2,False,2,138,0.0607045
2,False,2,139,0.0832355
2,False,2,140,0.0639101
2,False,2,141,0.088924
2,False,2,142,0.0674816
2,False,2,143,0.0854256
2,False,2,144,0.0158664
2,False,2,145,0.162681
2,False,2,146,0.165082
2,False,2,147,0.699302
2,False,2,148,0.36172
2,False,2,149,0.122059
2,False,2,150,0.103583
2,False,2,151,0.131227
2,False,2,152,0.112575
2,False,2,153,0.128135
2,False,2,154,0.114933
2,False,2,155,0.136427
2,False,2,156,0.118721
2,False,2,157,0.136468
2,False,2,158,0.124293
2,False,2,159,0.139532
2,False,2,160,0.128758
2,False,2,161,0.143903
2,False,2,162,0.128514
2,False,2,163,0.142544
2,False,2,164,0.130722
2,False,2,165,0.147547
2,False,2,166,0.130172
2,False,2,167,0.150049
2,False,2,168,0.136336
2,False,2,169,0.0829358
2,False,2,170,0.224878
2,False,2,171,0.125444
2,False,2,172,0.127889
2,False,2,173,0.12007
2,False,2,174,0.125869
2,False,2,175,0.131749
2,False,2,176,0.123569
2,False,2,177,0.13445
2,False,2,178,0.131266
2,False,2,179,0.143936
2,False,2,180,0.127861
2,False,2,181,0.140324
2,False,2,182,0.134968
2,False,2,183,0.133713
2,False,2,184,0.153632
2,False,2,185,0.147374
2,False,2,186,0.139252
2,False,2,187,0.140836
2,False,2,188,0.134367
2,False,2,189,0.149816
2,False,2,190,0.147087
2,False,2,191,0.148166
