Endgame, White, Parameter, Move,number_of_evaluations
3,True,3,1,19
3,True,3,2,30
3,True,3,3,53
3,True,3,4,22
3,True,3,5,20
3,True,3,6,19
3,True,3,7,22
3,True,3,8,32
3,True,3,9,31
3,True,3,10,31
3,True,3,11,24
3,True,3,12,22
3,True,3,13,16
3,True,3,14,28
3,True,3,15,16
3,True,3,16,28
3,True,3,17,16
3,True,3,18,28
3,True,3,19,16
3,True,3,20,28
3,True,3,21,16
3,True,3,22,28
3,True,3,23,16
3,True,3,24,28
3,True,3,25,16
3,True,3,26,28
3,True,3,27,16
3,True,3,28,28
3,True,3,29,16
3,True,3,30,28
3,True,3,31,16
3,True,3,32,28
3,True,3,33,16
3,True,3,34,28
3,True,3,35,1
3,True,3,36,29
3,True,3,37,28
3,True,3,38,29
3,True,3,39,28
3,True,3,40,31
3,True,3,41,31
3,True,3,42,39
3,True,3,43,31
3,True,3,44,40
3,True,3,45,42
3,True,3,46,33
3,True,3,47,25
3,True,3,48,60
3,True,3,49,103
3,True,3,50,27
3,True,3,51,27
3,True,3,52,27
3,True,3,53,27
3,True,3,54,27
3,True,3,55,27
3,True,3,56,27
3,True,3,57,27
3,True,3,58,27
3,True,3,59,27
3,True,3,60,27
3,True,3,61,27
3,True,3,62,27
3,True,3,63,27
3,True,3,64,27
3,True,3,65,27
3,True,3,66,27
3,True,3,67,27
3,True,3,68,27
3,True,3,69,27
3,True,3,70,27
3,True,3,71,27
3,True,3,72,27
3,True,3,73,27
3,True,3,74,27
3,True,3,75,1
3,True,3,76,65
3,True,3,77,27
3,True,3,78,67
3,True,3,79,73
3,True,3,80,20
3,True,3,81,16
3,True,3,82,54
3,True,3,83,57
3,True,3,84,51
3,True,3,85,58
3,True,3,86,51
3,True,3,87,58
3,True,3,88,51
3,True,3,89,58
3,True,3,90,51
3,True,3,91,58
3,True,3,92,51
3,True,3,93,58
3,True,3,94,51
3,True,3,95,58
3,True,3,96,51
3,True,3,97,58
3,True,3,98,51
3,True,3,99,58
3,True,3,100,51
3,True,3,101,58
3,True,3,102,51
3,True,3,103,58
3,True,3,104,51
3,True,3,105,58
3,True,3,106,51
3,True,3,107,58
3,True,3,108,1
3,True,3,109,65
3,True,3,110,27
3,True,3,111,29
3,True,3,112,46
3,True,3,113,33
3,True,3,114,29
3,True,3,115,36
3,True,3,116,35
3,True,3,117,79
3,True,3,118,70
3,True,3,119,72
3,True,3,120,62
3,True,3,121,85
3,True,3,122,77
3,True,3,123,84
3,True,3,124,59
3,True,3,125,76
3,True,3,126,65
3,True,3,127,76
3,True,3,128,65
3,True,3,129,76
3,True,3,130,65
3,True,3,131,76
3,True,3,132,65
3,True,3,133,76
3,True,3,134,65
3,True,3,135,76
3,True,3,136,65
3,True,3,137,76
3,True,3,138,65
3,True,3,139,76
3,True,3,140,65
3,True,3,141,76
3,True,3,142,65
3,True,3,143,76
3,True,3,144,65
3,True,3,145,44
3,True,3,146,65
3,True,3,147,76
3,True,3,148,78
3,True,3,149,67
3,True,3,150,66
3,True,3,151,67
3,True,3,152,66
3,True,3,153,67
3,True,3,154,66
3,True,3,155,67
3,True,3,156,66
3,True,3,157,67
3,True,3,158,66
3,True,3,159,67
3,True,3,160,66
3,True,3,161,67
3,True,3,162,66
3,True,3,163,67
3,True,3,164,66
3,True,3,165,67
3,True,3,166,66
3,True,3,167,67
3,True,3,168,66
3,True,3,169,67
3,True,3,170,57
3,True,3,171,62
3,True,3,172,63
3,True,3,173,62
3,True,3,174,63
3,True,3,175,62
3,True,3,176,63
3,True,3,177,62
3,True,3,178,63
3,True,3,179,62
3,True,3,180,63
3,True,3,181,62
3,True,3,182,63
3,True,3,183,62
3,True,3,184,63
3,True,3,185,62
3,True,3,186,63
3,True,3,187,62
3,True,3,188,63
3,True,3,189,62
3,True,3,190,63
3,True,3,191,62
3,True,3,192,63
3,True,3,193,62
3,True,3,194,63
3,True,3,195,45
3,True,3,196,46
3,True,3,197,60
3,True,3,198,51
3,True,3,199,60
3,True,3,200,51
3,True,3,201,60
3,True,3,202,51
3,True,3,203,60
3,True,3,204,51
3,True,3,205,60
3,True,3,206,51
3,True,3,207,60
3,True,3,208,51
3,True,3,209,60
3,True,3,210,51
3,True,3,211,60
3,True,3,212,51
3,True,3,213,60
3,True,3,214,51
3,True,3,215,60
3,True,3,216,51
3,True,3,217,60
3,True,3,218,51
3,True,3,219,60
3,True,3,220,49
3,True,3,221,72
3,True,3,222,129
3,True,3,223,52
3,True,3,224,50
3,True,3,225,62
3,True,3,226,50
3,True,3,227,62
3,True,3,228,50
3,True,3,229,62
3,True,3,230,50
3,True,3,231,62
3,True,3,232,50
3,True,3,233,62
3,True,3,234,50
3,True,3,235,62
3,True,3,236,50
3,True,3,237,62
3,True,3,238,50
3,True,3,239,62
3,True,3,240,50
3,True,3,241,62
3,True,3,242,50
3,True,3,243,62
3,True,3,244,50
3,True,3,245,56
3,True,3,246,60
3,True,3,247,58
3,True,3,248,60
3,True,3,249,58
3,True,3,250,60
3,True,3,251,58
3,True,3,252,60
3,True,3,253,58
3,True,3,254,60
3,True,3,255,58
3,True,3,256,60
3,True,3,257,58
3,True,3,258,60
3,True,3,259,58
3,True,3,260,60
3,True,3,261,58
3,True,3,262,60
3,True,3,263,58
3,True,3,264,60
3,True,3,265,58
3,True,3,266,60
3,True,3,267,58
3,True,3,268,60
3,True,3,269,58
3,True,3,270,60
3,True,3,271,1
3,True,3,272,29
3,True,3,273,28
3,True,3,274,29
3,True,3,275,75
3,True,3,276,32
3,True,3,277,24
3,True,3,278,36
3,True,3,279,33
3,True,3,280,35
3,True,3,281,34
3,True,3,282,48
3,True,3,283,30
3,True,3,284,89
3,True,3,285,49
3,True,3,286,87
3,True,3,287,60
3,True,3,288,71
3,True,3,289,60
3,True,3,290,71
3,True,3,291,60
3,True,3,292,71
3,True,3,293,60
3,True,3,294,71
3,True,3,295,60
3,True,3,296,71
3,True,3,297,60
3,True,3,298,71
3,True,3,299,60
3,True,3,300,71
3,True,3,301,60
3,True,3,302,71
3,True,3,303,60
3,True,3,304,71
3,True,3,305,60
3,True,3,306,71
3,True,3,307,60
3,True,3,308,71
3,True,3,309,60
3,True,3,310,71
3,True,3,311,60
3,True,3,312,33
3,True,3,313,60
3,True,3,314,93
3,True,3,315,54
3,True,3,316,66
3,True,3,317,82
3,True,3,318,66
3,True,3,319,82
3,True,3,320,66
3,True,3,321,82
3,True,3,322,66
3,True,3,323,82
3,True,3,324,66
3,True,3,325,82
3,True,3,326,66
3,True,3,327,82
3,True,3,328,66
3,True,3,329,82
3,True,3,330,66
3,True,3,331,82
3,True,3,332,66
3,True,3,333,82
3,True,3,334,66
3,True,3,335,82
3,True,3,336,66
3,True,3,337,82
3,True,3,338,66
3,True,3,339,62
3,True,3,340,54
3,True,3,341,107
3,True,3,342,80
3,True,3,343,170
3,True,3,344,186
3,True,3,345,133
3,True,3,346,185
3,True,3,347,198
3,True,3,348,93
3,True,3,349,63
3,True,3,350,223
3,True,3,351,247
3,True,3,352,210
3,True,3,353,247
3,True,3,354,171
3,True,3,355,150
3,True,3,356,103
3,True,3,357,199
3,True,3,358,103
3,True,3,359,199
3,True,3,360,103
3,True,3,361,199
3,True,3,362,103
3,True,3,363,199
3,True,3,364,103
3,True,3,365,199
3,True,3,366,103
3,True,3,367,199
3,True,3,368,103
3,True,3,369,199
3,True,3,370,103
3,True,3,371,199
3,True,3,372,103
3,True,3,373,199
3,True,3,374,103
3,True,3,375,199
3,True,3,376,103
3,True,3,377,97
3,True,3,378,87
3,True,3,379,31
3,True,3,380,87
3,True,3,381,31
3,True,3,382,87
3,True,3,383,31
3,True,3,384,87
3,True,3,385,31
3,True,3,386,87
3,True,3,387,31
3,True,3,388,87
3,True,3,389,31
3,True,3,390,87
3,True,3,391,31
3,True,3,392,87
3,True,3,393,31
3,True,3,394,87
3,True,3,395,31
3,True,3,396,87
3,True,3,397,31
3,True,3,398,87
3,True,3,399,31
3,True,3,400,87
3,True,3,401,31
3,True,3,402,54
3,True,3,403,1
3,True,3,404,94
3,True,3,405,251
3,True,3,406,72
3,True,3,407,70
3,True,3,408,87
3,True,3,409,830
3,True,3,410,703
3,True,3,411,860
3,True,3,412,850
3,True,3,413,1590
3,True,3,414,1747
3,True,3,415,1590
3,True,3,416,1747
3,True,3,417,1590
3,True,3,418,1747
3,True,3,419,1590
3,True,3,420,1747
3,True,3,421,1590
3,True,3,422,1747
3,True,3,423,1590
3,True,3,424,1747
3,True,3,425,1590
3,True,3,426,1747
3,True,3,427,1590
3,True,3,428,1747
3,True,3,429,1590
3,True,3,430,1747
3,True,3,431,1590
3,True,3,432,1747
3,True,3,433,1590
3,True,3,434,1747
3,True,3,435,1590
3,True,3,436,1747
3,True,3,437,91
3,True,3,438,436
3,True,3,439,666
3,True,3,440,616
3,True,3,441,1722
3,True,3,442,1256
3,True,3,443,223
3,True,3,444,258
3,True,3,445,224
3,True,3,446,211
3,True,3,447,186
3,True,3,448,222
3,True,3,449,124
3,True,3,450,230
3,True,3,451,197
3,True,3,452,232
3,True,3,453,197
3,True,3,454,232
3,True,3,455,197
3,True,3,456,232
3,True,3,457,197
3,True,3,458,232
3,True,3,459,197
3,True,3,460,232
3,True,3,461,197
3,True,3,462,232
3,True,3,463,197
3,True,3,464,232
3,True,3,465,197
3,True,3,466,232
3,True,3,467,197
3,True,3,468,232
3,True,3,469,197
3,True,3,470,232
3,True,3,471,197
3,True,3,472,232
3,True,3,473,197
3,True,3,474,232
3,True,3,475,47
3,True,3,476,93
3,True,3,477,81
3,True,3,478,84
3,True,3,479,447
3,True,3,480,676
3,True,3,481,721
3,True,3,482,632
3,True,3,483,676
3,True,3,484,530
3,True,3,485,676
3,True,3,486,530
3,True,3,487,676
3,True,3,488,530
3,True,3,489,676
3,True,3,490,530
3,True,3,491,676
3,True,3,492,530
3,True,3,493,676
3,True,3,494,530
3,True,3,495,676
3,True,3,496,530
3,True,3,497,676
3,True,3,498,530
3,True,3,499,676
3,True,3,500,530
3,True,3,501,676
3,True,3,502,530
3,True,3,503,676
3,True,3,504,530
3,True,3,505,80
3,True,3,506,698
3,True,3,507,666
3,True,3,508,698
3,True,3,509,666
3,True,3,510,698
3,True,3,511,666
3,True,3,512,698
3,True,3,513,666
3,True,3,514,698
3,True,3,515,666
3,True,3,516,698
3,True,3,517,666
3,True,3,518,698
3,True,3,519,666
3,True,3,520,698
3,True,3,521,666
3,True,3,522,698
3,True,3,523,666
3,True,3,524,698
3,True,3,525,666
3,True,3,526,698
3,True,3,527,666
3,True,3,528,698
3,True,3,529,666
3,True,3,530,78
3,True,3,531,558
3,True,3,532,515
3,True,3,533,415
3,True,3,534,223
3,True,3,535,258
3,True,3,536,243
3,True,3,537,277
3,True,3,538,242
3,True,3,539,225
3,True,3,540,143
3,True,3,541,231
3,True,3,542,293
3,True,3,543,227
3,True,3,544,311
3,True,3,545,2140
3,True,3,546,1153
3,True,3,547,799
3,True,3,548,1018
3,True,3,549,635
3,True,3,550,1041
3,True,3,551,635
3,True,3,552,1041
3,True,3,553,635
3,True,3,554,1041
3,True,3,555,635
3,True,3,556,1041
3,True,3,557,635
3,True,3,558,1041
3,True,3,559,635
3,True,3,560,1041
3,True,3,561,635
3,True,3,562,1041
3,True,3,563,635
3,True,3,564,1041
3,True,3,565,635
3,True,3,566,1041
3,True,3,567,635
3,True,3,568,1041
3,True,3,569,635
3,True,3,570,326
3,True,3,571,1915
3,True,3,572,1788
3,True,3,573,2187
3,True,3,574,2024
3,True,3,575,2086
3,True,3,576,2027
3,True,3,577,1887
3,True,3,578,2024
3,True,3,579,2086
3,True,3,580,2027
3,True,3,581,1887
3,True,3,582,2024
3,True,3,583,2086
3,True,3,584,2027
3,True,3,585,1887
3,True,3,586,2024
3,True,3,587,2086
3,True,3,588,2027
3,True,3,589,1887
3,True,3,590,2024
3,True,3,591,2086
3,True,3,592,2027
3,True,3,593,1887
3,True,3,594,2024
3,True,3,595,364
3,True,3,596,1955
3,True,3,597,1806
3,True,3,598,1843
3,True,3,599,1799
3,True,3,600,1643
3,True,3,601,1814
3,True,3,602,1843
3,True,3,603,1799
3,True,3,604,1643
3,True,3,605,1814
3,True,3,606,1843
3,True,3,607,1799
3,True,3,608,1643
3,True,3,609,1814
3,True,3,610,1843
3,True,3,611,1799
3,True,3,612,1643
3,True,3,613,1814
3,True,3,614,1843
3,True,3,615,1799
3,True,3,616,1643
3,True,3,617,1814
3,True,3,618,1843
3,True,3,619,1799
3,True,3,620,294
3,True,3,621,1670
3,True,3,622,2186
3,True,3,623,1888
3,True,3,624,1499
3,True,3,625,2098
3,True,3,626,1706
3,True,3,627,1888
3,True,3,628,1499
3,True,3,629,2098
3,True,3,630,1706
3,True,3,631,1888
3,True,3,632,1499
3,True,3,633,2098
3,True,3,634,1706
3,True,3,635,1888
3,True,3,636,1499
3,True,3,637,2098
3,True,3,638,1706
3,True,3,639,1888
3,True,3,640,1499
3,True,3,641,2098
3,True,3,642,1706
3,True,3,643,1888
3,True,3,644,1499
3,True,3,645,241
3,True,3,646,429
3,True,3,647,809
3,True,3,648,708
3,True,3,649,887
3,True,3,650,694
3,True,3,651,809
3,True,3,652,708
3,True,3,653,887
3,True,3,654,694
3,True,3,655,809
3,True,3,656,708
3,True,3,657,887
3,True,3,658,694
3,True,3,659,809
3,True,3,660,708
3,True,3,661,887
3,True,3,662,694
3,True,3,663,809
3,True,3,664,708
