Endgame, White, Parameter, Move,evaluation_function
1,False,5,1,10
1,False,5,2,-60
1,False,5,3,30
1,False,5,4,30
1,False,5,5,30
1,False,5,6,40
1,False,5,7,40
1,False,5,8,40
1,False,5,9,30
1,False,5,10,30
1,False,5,11,30
1,False,5,12,30
1,False,5,13,30
1,False,5,14,30
1,False,5,15,30
1,False,5,16,30
1,False,5,17,30
1,False,5,18,30
1,False,5,19,30
1,False,5,20,30
1,False,5,21,30
1,False,5,22,30
1,False,5,23,30
1,False,5,24,30
1,False,5,25,30
1,False,5,26,30
1,False,5,27,30
1,False,5,28,30
1,False,5,29,30
1,False,5,30,30
1,False,5,31,30
1,False,5,32,30
1,False,5,33,30
1,False,5,34,30
1,False,5,35,10
1,False,5,36,10
1,False,5,37,10
1,False,5,38,10
1,False,5,39,0
1,False,5,40,-10
1,False,5,41,-20
1,False,5,42,-20
1,False,5,43,-20
1,False,5,44,-20
1,False,5,45,-20
1,False,5,46,-20
1,False,5,47,-20
1,False,5,48,-10
1,False,5,49,0
1,False,5,50,0
1,False,5,51,0
1,False,5,52,0
1,False,5,53,0
1,False,5,54,0
1,False,5,55,0
1,False,5,56,0
1,False,5,57,0
1,False,5,58,0
1,False,5,59,0
1,False,5,60,0
1,False,5,61,0
1,False,5,62,0
1,False,5,63,0
1,False,5,64,0
1,False,5,65,0
1,False,5,66,0
1,False,5,67,0
1,False,5,68,0
1,False,5,69,0
1,False,5,70,0
1,False,5,71,0
1,False,5,72,0
1,False,5,73,0
1,False,5,74,0
1,False,5,75,20
1,False,5,76,20
1,False,5,77,30
1,False,5,78,30
1,False,5,79,0
1,False,5,80,-80
1,False,5,81,-80
1,False,5,82,-80
1,False,5,83,-80
1,False,5,84,-80
1,False,5,85,-80
1,False,5,86,-80
1,False,5,87,-80
1,False,5,88,-80
1,False,5,89,-80
1,False,5,90,-80
1,False,5,91,-80
1,False,5,92,-80
1,False,5,93,-80
1,False,5,94,-80
1,False,5,95,-80
1,False,5,96,-80
1,False,5,97,-80
1,False,5,98,-80
1,False,5,99,-80
1,False,5,100,-80
1,False,5,101,-80
1,False,5,102,-80
1,False,5,103,-80
1,False,5,104,-80
1,False,5,105,-80
1,False,5,106,-80
1,False,5,107,0
1,False,5,108,10
1,False,5,109,20
1,False,5,110,20
1,False,5,111,10
1,False,5,112,10
1,False,5,113,10
1,False,5,114,-20
1,False,5,115,-70
1,False,5,116,-80
1,False,5,117,-90
1,False,5,118,-90
1,False,5,119,-90
1,False,5,120,-90
1,False,5,121,-120
1,False,5,122,-120
1,False,5,123,-90
1,False,5,124,-90
1,False,5,125,-90
1,False,5,126,-90
1,False,5,127,-90
1,False,5,128,-90
1,False,5,129,-90
1,False,5,130,-90
1,False,5,131,-90
1,False,5,132,-90
1,False,5,133,-90
1,False,5,134,-90
1,False,5,135,-90
1,False,5,136,-90
1,False,5,137,-90
1,False,5,138,-90
1,False,5,139,-90
1,False,5,140,-90
1,False,5,141,-90
1,False,5,142,-90
1,False,5,143,-90
1,False,5,144,-90
1,False,5,145,-90
1,False,5,146,-90
1,False,5,147,-110
1,False,5,148,-90
1,False,5,149,-120
1,False,5,150,-90
1,False,5,151,-120
1,False,5,152,-90
1,False,5,153,-120
1,False,5,154,-90
1,False,5,155,-120
1,False,5,156,-90
1,False,5,157,-120
1,False,5,158,-90
1,False,5,159,-120
1,False,5,160,-90
1,False,5,161,-120
1,False,5,162,-90
1,False,5,163,-120
1,False,5,164,-90
1,False,5,165,-120
1,False,5,166,-90
1,False,5,167,-120
1,False,5,168,-90
1,False,5,169,-90
1,False,5,170,-90
1,False,5,171,-90
1,False,5,172,-90
1,False,5,173,-90
1,False,5,174,-90
1,False,5,175,-90
1,False,5,176,-90
1,False,5,177,-90
1,False,5,178,-90
1,False,5,179,-90
1,False,5,180,-90
1,False,5,181,-90
1,False,5,182,-90
1,False,5,183,-90
1,False,5,184,-90
