Endgame, White, Parameter, Move,evaluation_function
3,True,5,1,10
3,True,5,2,-60
3,True,5,3,30
3,True,5,4,30
3,True,5,5,30
3,True,5,6,40
3,True,5,7,40
3,True,5,8,40
3,True,5,9,30
3,True,5,10,30
3,True,5,11,30
3,True,5,12,30
3,True,5,13,30
3,True,5,14,30
3,True,5,15,30
3,True,5,16,30
3,True,5,17,30
3,True,5,18,30
3,True,5,19,30
3,True,5,20,30
3,True,5,21,30
3,True,5,22,30
3,True,5,23,30
3,True,5,24,30
3,True,5,25,30
3,True,5,26,30
3,True,5,27,30
3,True,5,28,30
3,True,5,29,30
3,True,5,30,30
3,True,5,31,30
3,True,5,32,30
3,True,5,33,30
3,True,5,34,30
3,True,5,35,0
3,True,5,36,10
3,True,5,37,10
3,True,5,38,10
3,True,5,39,10
3,True,5,40,0
3,True,5,41,-10
3,True,5,42,-20
3,True,5,43,-20
3,True,5,44,-20
3,True,5,45,-20
3,True,5,46,-20
3,True,5,47,-20
3,True,5,48,-10
3,True,5,49,0
3,True,5,50,0
3,True,5,51,0
3,True,5,52,0
3,True,5,53,0
3,True,5,54,0
3,True,5,55,0
3,True,5,56,0
3,True,5,57,0
3,True,5,58,0
3,True,5,59,0
3,True,5,60,0
3,True,5,61,0
3,True,5,62,0
3,True,5,63,0
3,True,5,64,0
3,True,5,65,0
3,True,5,66,0
3,True,5,67,0
3,True,5,68,0
3,True,5,69,0
3,True,5,70,0
3,True,5,71,0
3,True,5,72,0
3,True,5,73,0
3,True,5,74,0
3,True,5,75,0
3,True,5,76,20
3,True,5,77,20
3,True,5,78,30
3,True,5,79,30
3,True,5,80,0
3,True,5,81,-80
3,True,5,82,-80
3,True,5,83,-80
3,True,5,84,-80
3,True,5,85,-80
3,True,5,86,-80
3,True,5,87,-80
3,True,5,88,-80
3,True,5,89,-80
3,True,5,90,-80
3,True,5,91,-80
3,True,5,92,-80
3,True,5,93,-80
3,True,5,94,-80
3,True,5,95,-80
3,True,5,96,-80
3,True,5,97,-80
3,True,5,98,-80
3,True,5,99,-80
3,True,5,100,-80
3,True,5,101,-80
3,True,5,102,-80
3,True,5,103,-80
3,True,5,104,-80
3,True,5,105,-80
3,True,5,106,-80
3,True,5,107,-80
3,True,5,108,0
3,True,5,109,20
3,True,5,110,20
3,True,5,111,20
3,True,5,112,10
3,True,5,113,10
3,True,5,114,10
3,True,5,115,10
3,True,5,116,-60
3,True,5,117,-70
3,True,5,118,-80
3,True,5,119,-90
3,True,5,120,-90
3,True,5,121,-90
3,True,5,122,-90
3,True,5,123,-90
3,True,5,124,-90
3,True,5,125,-90
3,True,5,126,-90
3,True,5,127,-90
3,True,5,128,-90
3,True,5,129,-90
3,True,5,130,-90
3,True,5,131,-90
3,True,5,132,-90
3,True,5,133,-90
3,True,5,134,-90
3,True,5,135,-90
3,True,5,136,-90
3,True,5,137,-90
3,True,5,138,-90
3,True,5,139,-90
3,True,5,140,-90
3,True,5,141,-90
3,True,5,142,-90
3,True,5,143,-90
3,True,5,144,-90
3,True,5,145,-90
3,True,5,146,-90
3,True,5,147,-90
3,True,5,148,-90
3,True,5,149,-90
3,True,5,150,-90
3,True,5,151,-90
3,True,5,152,-90
3,True,5,153,-90
3,True,5,154,-90
3,True,5,155,-90
3,True,5,156,-90
3,True,5,157,-90
3,True,5,158,-90
3,True,5,159,-90
3,True,5,160,-90
3,True,5,161,-90
3,True,5,162,-90
3,True,5,163,-90
3,True,5,164,-90
3,True,5,165,-90
3,True,5,166,-90
3,True,5,167,-90
3,True,5,168,-90
3,True,5,169,-90
3,True,5,170,-90
3,True,5,171,-90
3,True,5,172,-90
3,True,5,173,-90
3,True,5,174,-90
3,True,5,175,-90
3,True,5,176,-90
3,True,5,177,-90
3,True,5,178,-90
3,True,5,179,-90
3,True,5,180,-90
3,True,5,181,-90
3,True,5,182,-90
3,True,5,183,-90
3,True,5,184,-90
3,True,5,185,-90
3,True,5,186,-90
3,True,5,187,-90
3,True,5,188,-90
3,True,5,189,-90
3,True,5,190,-90
3,True,5,191,-90
3,True,5,192,-90
3,True,5,193,-90
3,True,5,194,-90
3,True,5,195,-80
3,True,5,196,-80
3,True,5,197,-90
3,True,5,198,-90
3,True,5,199,-90
3,True,5,200,-90
3,True,5,201,-90
3,True,5,202,-90
3,True,5,203,-90
3,True,5,204,-90
3,True,5,205,-90
3,True,5,206,-90
3,True,5,207,-90
3,True,5,208,-90
3,True,5,209,-90
3,True,5,210,-90
3,True,5,211,-90
3,True,5,212,-90
3,True,5,213,-90
3,True,5,214,-90
3,True,5,215,-90
3,True,5,216,-90
3,True,5,217,-90
3,True,5,218,-90
3,True,5,219,-90
3,True,5,220,-90
3,True,5,221,-90
3,True,5,222,-90
3,True,5,223,-90
3,True,5,224,-90
3,True,5,225,-90
3,True,5,226,-90
3,True,5,227,-90
3,True,5,228,-90
3,True,5,229,-90
3,True,5,230,-90
3,True,5,231,-90
3,True,5,232,-90
3,True,5,233,-90
3,True,5,234,-90
3,True,5,235,-90
3,True,5,236,-90
3,True,5,237,-90
3,True,5,238,-90
3,True,5,239,-90
3,True,5,240,-90
3,True,5,241,-90
3,True,5,242,-90
3,True,5,243,-90
3,True,5,244,-90
3,True,5,245,-80
3,True,5,246,-80
3,True,5,247,-80
3,True,5,248,-80
3,True,5,249,-80
3,True,5,250,-80
3,True,5,251,-80
3,True,5,252,-80
3,True,5,253,-80
3,True,5,254,-80
3,True,5,255,-80
3,True,5,256,-80
3,True,5,257,-80
3,True,5,258,-80
3,True,5,259,-80
3,True,5,260,-80
3,True,5,261,-80
3,True,5,262,-80
3,True,5,263,-80
3,True,5,264,-80
3,True,5,265,-80
3,True,5,266,-80
3,True,5,267,-80
3,True,5,268,-80
3,True,5,269,-80
3,True,5,270,-80
3,True,5,271,0
3,True,5,272,10
3,True,5,273,10
3,True,5,274,10
3,True,5,275,20
3,True,5,276,20
3,True,5,277,10
3,True,5,278,0
3,True,5,279,-10
3,True,5,280,-10
3,True,5,281,-10
3,True,5,282,-10
3,True,5,283,-10
3,True,5,284,0
3,True,5,285,0
3,True,5,286,10
3,True,5,287,20
3,True,5,288,20
3,True,5,289,20
3,True,5,290,20
3,True,5,291,20
3,True,5,292,20
3,True,5,293,20
3,True,5,294,20
3,True,5,295,20
3,True,5,296,20
3,True,5,297,20
3,True,5,298,20
3,True,5,299,20
3,True,5,300,20
3,True,5,301,20
3,True,5,302,20
3,True,5,303,20
3,True,5,304,20
3,True,5,305,20
3,True,5,306,20
3,True,5,307,20
3,True,5,308,20
3,True,5,309,20
3,True,5,310,20
3,True,5,311,20
3,True,5,312,10
3,True,5,313,20
3,True,5,314,90
3,True,5,315,90
3,True,5,316,90
3,True,5,317,90
3,True,5,318,90
3,True,5,319,90
3,True,5,320,90
3,True,5,321,90
3,True,5,322,90
3,True,5,323,90
3,True,5,324,90
3,True,5,325,90
3,True,5,326,90
3,True,5,327,90
3,True,5,328,90
3,True,5,329,90
3,True,5,330,90
3,True,5,331,90
3,True,5,332,90
3,True,5,333,90
3,True,5,334,90
3,True,5,335,90
3,True,5,336,90
3,True,5,337,90
3,True,5,338,90
3,True,5,339,100
3,True,5,340,100
3,True,5,341,90
3,True,5,342,100
3,True,5,343,20
3,True,5,344,20
3,True,5,345,40
3,True,5,346,40
3,True,5,347,40
3,True,5,348,40
3,True,5,349,50
3,True,5,350,50
3,True,5,351,50
3,True,5,352,40
3,True,5,353,40
3,True,5,354,40
3,True,5,355,40
3,True,5,356,40
3,True,5,357,40
3,True,5,358,40
3,True,5,359,40
3,True,5,360,40
3,True,5,361,40
3,True,5,362,40
3,True,5,363,40
3,True,5,364,40
3,True,5,365,40
3,True,5,366,40
3,True,5,367,40
3,True,5,368,40
3,True,5,369,40
3,True,5,370,40
3,True,5,371,40
3,True,5,372,40
3,True,5,373,40
3,True,5,374,40
3,True,5,375,40
3,True,5,376,40
3,True,5,377,10
3,True,5,378,10
3,True,5,379,10
3,True,5,380,10
3,True,5,381,10
3,True,5,382,10
3,True,5,383,10
3,True,5,384,10
3,True,5,385,10
3,True,5,386,10
3,True,5,387,10
3,True,5,388,10
3,True,5,389,10
3,True,5,390,10
3,True,5,391,10
3,True,5,392,10
3,True,5,393,10
3,True,5,394,10
3,True,5,395,10
3,True,5,396,10
3,True,5,397,10
3,True,5,398,10
3,True,5,399,10
3,True,5,400,10
3,True,5,401,10
3,True,5,402,0
3,True,5,403,0
3,True,5,404,-60
3,True,5,405,20
3,True,5,406,20
3,True,5,407,-60
3,True,5,408,-90
3,True,5,409,-90
3,True,5,410,-90
3,True,5,411,-90
3,True,5,412,-90
3,True,5,413,-90
3,True,5,414,-90
3,True,5,415,-90
3,True,5,416,-90
3,True,5,417,-90
3,True,5,418,-90
3,True,5,419,-90
3,True,5,420,-90
3,True,5,421,-90
3,True,5,422,-90
3,True,5,423,-90
3,True,5,424,-90
3,True,5,425,-90
3,True,5,426,-90
3,True,5,427,-90
3,True,5,428,-90
3,True,5,429,-90
3,True,5,430,-90
3,True,5,431,-90
3,True,5,432,-90
3,True,5,433,-90
3,True,5,434,-90
3,True,5,435,-90
3,True,5,436,-90
3,True,5,437,-90
3,True,5,438,-170
3,True,5,439,-180
3,True,5,440,-190
3,True,5,441,-190
3,True,5,442,-1080
3,True,5,443,10
3,True,5,444,10
3,True,5,445,-10
3,True,5,446,-60
3,True,5,447,20
3,True,5,448,20
3,True,5,449,10
3,True,5,450,-20
3,True,5,451,-20
3,True,5,452,-20
3,True,5,453,-20
3,True,5,454,-20
3,True,5,455,-20
3,True,5,456,-20
3,True,5,457,-20
3,True,5,458,-20
3,True,5,459,-20
3,True,5,460,-20
3,True,5,461,-20
3,True,5,462,-20
3,True,5,463,-20
3,True,5,464,-20
3,True,5,465,-20
3,True,5,466,-20
3,True,5,467,-20
3,True,5,468,-20
3,True,5,469,-20
3,True,5,470,-20
3,True,5,471,-20
3,True,5,472,-20
3,True,5,473,-20
3,True,5,474,-20
3,True,5,475,-10
3,True,5,476,-10
3,True,5,477,-90
3,True,5,478,-100
3,True,5,479,-110
3,True,5,480,-120
3,True,5,481,-120
3,True,5,482,-120
3,True,5,483,-120
3,True,5,484,-120
3,True,5,485,-120
3,True,5,486,-120
3,True,5,487,-120
3,True,5,488,-120
3,True,5,489,-120
