Endgame, White, Parameter, Move,evaluation_function
4,True,3,1,10
4,True,3,2,-60
4,True,3,3,30
4,True,3,4,30
4,True,3,5,30
4,True,3,6,40
4,True,3,7,40
4,True,3,8,40
4,True,3,9,30
4,True,3,10,30
4,True,3,11,30
4,True,3,12,30
4,True,3,13,30
4,True,3,14,30
4,True,3,15,30
4,True,3,16,30
4,True,3,17,30
4,True,3,18,30
4,True,3,19,30
4,True,3,20,30
4,True,3,21,30
4,True,3,22,30
4,True,3,23,30
4,True,3,24,30
4,True,3,25,30
4,True,3,26,30
4,True,3,27,30
4,True,3,28,30
4,True,3,29,30
4,True,3,30,30
4,True,3,31,30
4,True,3,32,30
4,True,3,33,30
4,True,3,34,30
4,True,3,35,0
4,True,3,36,10
4,True,3,37,10
4,True,3,38,10
4,True,3,39,10
4,True,3,40,0
4,True,3,41,-10
4,True,3,42,-20
4,True,3,43,-20
4,True,3,44,-20
4,True,3,45,-20
4,True,3,46,-20
4,True,3,47,-20
4,True,3,48,-10
4,True,3,49,0
4,True,3,50,0
4,True,3,51,0
4,True,3,52,0
4,True,3,53,0
4,True,3,54,0
4,True,3,55,0
4,True,3,56,0
4,True,3,57,0
4,True,3,58,0
4,True,3,59,0
4,True,3,60,0
4,True,3,61,0
4,True,3,62,0
4,True,3,63,0
4,True,3,64,0
4,True,3,65,0
4,True,3,66,0
4,True,3,67,0
4,True,3,68,0
4,True,3,69,0
4,True,3,70,0
4,True,3,71,0
4,True,3,72,0
4,True,3,73,0
4,True,3,74,0
4,True,3,75,0
4,True,3,76,20
4,True,3,77,20
4,True,3,78,30
4,True,3,79,30
4,True,3,80,0
4,True,3,81,-80
4,True,3,82,-80
4,True,3,83,-80
4,True,3,84,-80
4,True,3,85,-80
4,True,3,86,-80
4,True,3,87,-80
4,True,3,88,-80
4,True,3,89,-80
4,True,3,90,-80
4,True,3,91,-80
4,True,3,92,-80
4,True,3,93,-80
4,True,3,94,-80
4,True,3,95,-80
4,True,3,96,-80
4,True,3,97,-80
4,True,3,98,-80
4,True,3,99,-80
4,True,3,100,-80
4,True,3,101,-80
4,True,3,102,-80
4,True,3,103,-80
4,True,3,104,-80
4,True,3,105,-80
4,True,3,106,-80
4,True,3,107,-80
4,True,3,108,0
4,True,3,109,20
4,True,3,110,20
4,True,3,111,20
4,True,3,112,10
4,True,3,113,10
4,True,3,114,10
4,True,3,115,10
4,True,3,116,-60
4,True,3,117,-70
4,True,3,118,-80
4,True,3,119,-90
4,True,3,120,-90
4,True,3,121,-90
4,True,3,122,-90
4,True,3,123,-90
4,True,3,124,-90
4,True,3,125,-90
4,True,3,126,-90
4,True,3,127,-90
4,True,3,128,-90
4,True,3,129,-90
4,True,3,130,-90
4,True,3,131,-90
4,True,3,132,-90
4,True,3,133,-90
4,True,3,134,-90
4,True,3,135,-90
4,True,3,136,-90
4,True,3,137,-90
4,True,3,138,-90
4,True,3,139,-90
4,True,3,140,-90
4,True,3,141,-90
4,True,3,142,-90
4,True,3,143,-90
4,True,3,144,-90
4,True,3,145,-90
4,True,3,146,-90
