Endgame, White, Parameter, Move,number_of_evaluations
2,True,5,1,19
2,True,5,2,30
2,True,5,3,53
2,True,5,4,22
2,True,5,5,20
2,True,5,6,19
2,True,5,7,22
2,True,5,8,32
2,True,5,9,31
2,True,5,10,31
2,True,5,11,24
2,True,5,12,22
2,True,5,13,16
2,True,5,14,28
2,True,5,15,16
2,True,5,16,28
2,True,5,17,16
2,True,5,18,28
2,True,5,19,16
2,True,5,20,28
2,True,5,21,16
2,True,5,22,28
2,True,5,23,16
2,True,5,24,28
2,True,5,25,16
2,True,5,26,28
2,True,5,27,16
2,True,5,28,28
2,True,5,29,16
2,True,5,30,28
2,True,5,31,16
2,True,5,32,28
2,True,5,33,16
2,True,5,34,28
2,True,5,35,1
2,True,5,36,29
2,True,5,37,28
2,True,5,38,29
2,True,5,39,28
2,True,5,40,31
2,True,5,41,31
2,True,5,42,39
2,True,5,43,31
2,True,5,44,40
2,True,5,45,42
2,True,5,46,33
2,True,5,47,25
2,True,5,48,60
2,True,5,49,103
2,True,5,50,27
2,True,5,51,27
2,True,5,52,27
2,True,5,53,27
2,True,5,54,27
2,True,5,55,27
2,True,5,56,27
2,True,5,57,27
2,True,5,58,27
2,True,5,59,27
2,True,5,60,27
2,True,5,61,27
2,True,5,62,27
2,True,5,63,27
2,True,5,64,27
2,True,5,65,27
2,True,5,66,27
2,True,5,67,27
2,True,5,68,27
2,True,5,69,27
2,True,5,70,27
2,True,5,71,27
2,True,5,72,27
2,True,5,73,27
2,True,5,74,27
2,True,5,75,1
2,True,5,76,65
2,True,5,77,27
2,True,5,78,67
2,True,5,79,73
2,True,5,80,20
2,True,5,81,16
2,True,5,82,54
2,True,5,83,57
2,True,5,84,51
2,True,5,85,58
2,True,5,86,51
2,True,5,87,58
2,True,5,88,51
2,True,5,89,58
2,True,5,90,51
2,True,5,91,58
2,True,5,92,51
2,True,5,93,58
2,True,5,94,51
2,True,5,95,58
2,True,5,96,51
2,True,5,97,58
2,True,5,98,51
2,True,5,99,58
2,True,5,100,51
2,True,5,101,58
2,True,5,102,51
2,True,5,103,58
2,True,5,104,51
2,True,5,105,58
2,True,5,106,51
2,True,5,107,58
2,True,5,108,1
2,True,5,109,65
2,True,5,110,27
2,True,5,111,29
2,True,5,112,46
2,True,5,113,33
2,True,5,114,29
2,True,5,115,36
2,True,5,116,35
2,True,5,117,79
2,True,5,118,70
2,True,5,119,72
2,True,5,120,62
2,True,5,121,85
2,True,5,122,77
2,True,5,123,84
2,True,5,124,59
2,True,5,125,76
2,True,5,126,65
2,True,5,127,76
2,True,5,128,65
2,True,5,129,76
2,True,5,130,65
2,True,5,131,76
2,True,5,132,65
2,True,5,133,76
2,True,5,134,65
2,True,5,135,76
2,True,5,136,65
2,True,5,137,76
2,True,5,138,65
2,True,5,139,76
2,True,5,140,65
2,True,5,141,76
2,True,5,142,65
2,True,5,143,76
2,True,5,144,65
2,True,5,145,44
2,True,5,146,65
2,True,5,147,76
2,True,5,148,78
2,True,5,149,67
2,True,5,150,66
