Endgame, White, Parameter, Move,processing_time
3,True,4,1,0.0016872
3,True,4,2,0.0023479
3,True,4,3,0.0027027
3,True,4,4,0.0021286
3,True,4,5,0.0018567
3,True,4,6,0.0015195
3,True,4,7,0.0020426
3,True,4,8,0.0029188
3,True,4,9,0.002437
3,True,4,10,0.0026331
3,True,4,11,0.001885
3,True,4,12,0.001689
3,True,4,13,0.0012217
3,True,4,14,0.0021291
3,True,4,15,0.0012425
3,True,4,16,0.0022605
3,True,4,17,0.0014858
3,True,4,18,0.0023594
3,True,4,19,0.0013917
3,True,4,20,0.0024167
3,True,4,21,0.0014558
3,True,4,22,0.0025236
3,True,4,23,0.001517
3,True,4,24,0.0027904
3,True,4,25,0.001586
3,True,4,26,0.0027754
3,True,4,27,0.0016548
3,True,4,28,0.0028608
3,True,4,29,0.0017133
3,True,4,30,0.0037551
3,True,4,31,0.0017837
3,True,4,32,0.003113
3,True,4,33,0.001863
3,True,4,34,0.0032342
3,True,4,35,8.93e-05
3,True,4,36,0.0015841
3,True,4,37,0.0016568
3,True,4,38,0.0019441
3,True,4,39,0.0019061
3,True,4,40,0.0016479
3,True,4,41,0.0017842
3,True,4,42,0.0019827
3,True,4,43,0.0018981
3,True,4,44,0.0022529
3,True,4,45,0.0027456
3,True,4,46,0.0023687
3,True,4,47,0.0020639
3,True,4,48,0.0032706
3,True,4,49,0.0045401
3,True,4,50,0.0019262
3,True,4,51,0.002374
3,True,4,52,0.0020398
3,True,4,53,0.0022649
3,True,4,54,0.0020501
3,True,4,55,0.0040906
3,True,4,56,0.0025624
3,True,4,57,0.0040382
3,True,4,58,0.0023792
3,True,4,59,0.0065662
3,True,4,60,0.002621
3,True,4,61,0.0028616
3,True,4,62,0.0025658
3,True,4,63,0.0031066
3,True,4,64,0.0026615
3,True,4,65,0.0029197
3,True,4,66,0.0026167
3,True,4,67,0.003089
3,True,4,68,0.0027393
3,True,4,69,0.0033821
3,True,4,70,0.0030249
3,True,4,71,0.0032798
3,True,4,72,0.0029227
3,True,4,73,0.0035672
3,True,4,74,0.0031915
3,True,4,75,0.0001008
3,True,4,76,0.0021599
3,True,4,77,0.0023288
3,True,4,78,0.002478
3,True,4,79,0.0026929
3,True,4,80,0.0015172
3,True,4,81,0.0013697
3,True,4,82,0.0046952
3,True,4,83,0.0054012
3,True,4,84,0.0054064
3,True,4,85,0.006246
3,True,4,86,0.005484
3,True,4,87,0.0055122
3,True,4,88,0.0057754
3,True,4,89,0.0061003
3,True,4,90,0.0062145
3,True,4,91,0.0080654
3,True,4,92,0.006404
3,True,4,93,0.0072801
3,True,4,94,0.0062438
3,True,4,95,0.0066015
3,True,4,96,0.007093
3,True,4,97,0.0088416
3,True,4,98,0.0084419
3,True,4,99,0.0078905
3,True,4,100,0.0075638
3,True,4,101,0.0079769
3,True,4,102,0.0075923
3,True,4,103,0.0081305
3,True,4,104,0.007742
3,True,4,105,0.0085249
3,True,4,106,0.0107638
3,True,4,107,0.0168303
3,True,4,108,0.000185
3,True,4,109,0.0023303
3,True,4,110,0.0016606
3,True,4,111,0.0021403
3,True,4,112,0.0027027
3,True,4,113,0.0024459
3,True,4,114,0.0014697
3,True,4,115,0.0022532
3,True,4,116,0.0024536
3,True,4,117,0.0058593
3,True,4,118,0.0060356
3,True,4,119,0.0052248
3,True,4,120,0.0047959
3,True,4,121,0.0053047
3,True,4,122,0.0063071
3,True,4,123,0.0075301
3,True,4,124,0.0053412
3,True,4,125,0.0083866
3,True,4,126,0.0062932
3,True,4,127,0.0062299
3,True,4,128,0.0088408
3,True,4,129,0.0069233
3,True,4,130,0.0067441
3,True,4,131,0.0067764
3,True,4,132,0.0074923
3,True,4,133,0.0073964
3,True,4,134,0.0074202
3,True,4,135,0.0083237
3,True,4,136,0.0088563
3,True,4,137,0.0104246
3,True,4,138,0.0087764
3,True,4,139,0.008491
3,True,4,140,0.0093792
3,True,4,141,0.0098754
3,True,4,142,0.0114573
3,True,4,143,0.0092685
3,True,4,144,0.0097146
3,True,4,145,0.0043555
3,True,4,146,0.0093979
3,True,4,147,0.0124197
3,True,4,148,0.0128418
3,True,4,149,0.0113658
3,True,4,150,0.0112994
3,True,4,151,0.0114684
3,True,4,152,0.011207
3,True,4,153,0.0119782
3,True,4,154,0.0115331
3,True,4,155,0.0126324
3,True,4,156,0.0133039
3,True,4,157,0.013899
3,True,4,158,0.0129913
3,True,4,159,0.0154562
3,True,4,160,0.0144824
3,True,4,161,0.0134211
3,True,4,162,0.0135306
3,True,4,163,0.0164042
3,True,4,164,0.0133684
3,True,4,165,0.014209
3,True,4,166,0.0153851
3,True,4,167,0.0143626
3,True,4,168,0.014154
3,True,4,169,0.0164602
3,True,4,170,0.0065132
3,True,4,171,0.0135991
3,True,4,172,0.015296
3,True,4,173,0.0144424
3,True,4,174,0.0144821
3,True,4,175,0.0165782
3,True,4,176,0.0172986
3,True,4,177,0.0175979
3,True,4,178,0.0157342
3,True,4,179,0.0172639
3,True,4,180,0.0174738
3,True,4,181,0.0152854
3,True,4,182,0.016773
3,True,4,183,0.0159822
3,True,4,184,0.0184884
3,True,4,185,0.0169077
3,True,4,186,0.0187117
3,True,4,187,0.0165242
3,True,4,188,0.0196687
3,True,4,189,0.0202551
3,True,4,190,0.0169702
3,True,4,191,0.0170468
3,True,4,192,0.0178183
3,True,4,193,0.0201805
3,True,4,194,0.0176206
3,True,4,195,0.0070735
3,True,4,196,0.0068383
3,True,4,197,0.0219553
3,True,4,198,0.0157445
3,True,4,199,0.0177793
3,True,4,200,0.0185493
3,True,4,201,0.0182327
3,True,4,202,0.0153181
3,True,4,203,0.0180126
3,True,4,204,0.0156745
3,True,4,205,0.0184098
3,True,4,206,0.01723
3,True,4,207,0.0208034
3,True,4,208,0.0184983
3,True,4,209,0.0210468
3,True,4,210,0.0178811
3,True,4,211,0.0208872
3,True,4,212,0.0169402
3,True,4,213,0.0208823
3,True,4,214,0.0175623
3,True,4,215,0.0212356
3,True,4,216,0.0177108
3,True,4,217,0.0221494
3,True,4,218,0.0195824
3,True,4,219,0.0209154
3,True,4,220,0.0082276
3,True,4,221,0.0238794
3,True,4,222,0.0263269
3,True,4,223,0.0180925
3,True,4,224,0.0193953
3,True,4,225,0.0240716
3,True,4,226,0.0191881
3,True,4,227,0.0231736
3,True,4,228,0.0197568
3,True,4,229,0.0284995
3,True,4,230,0.0218086
3,True,4,231,0.0235229
3,True,4,232,0.0215281
3,True,4,233,0.0237293
3,True,4,234,0.0192693
3,True,4,235,0.024141
3,True,4,236,0.0234658
3,True,4,237,0.0266708
3,True,4,238,0.0209493
3,True,4,239,0.0252638
3,True,4,240,0.0216415
3,True,4,241,0.025104
3,True,4,242,0.0204192
3,True,4,243,0.029515
3,True,4,244,0.02081
3,True,4,245,0.0107447
3,True,4,246,0.0270603
3,True,4,247,0.0267097
3,True,4,248,0.0259515
3,True,4,249,0.0243899
3,True,4,250,0.0268652
3,True,4,251,0.0248528
3,True,4,252,0.02884
3,True,4,253,0.0264661
3,True,4,254,0.0265758
3,True,4,255,0.0256817
3,True,4,256,0.0264064
3,True,4,257,0.0261102
3,True,4,258,0.0278285
3,True,4,259,0.0261054
3,True,4,260,0.0306088
3,True,4,261,0.0267819
3,True,4,262,0.0309069
3,True,4,263,0.0296846
3,True,4,264,0.0286541
3,True,4,265,0.0288833
3,True,4,266,0.0302826
3,True,4,267,0.0282398
3,True,4,268,0.0285602
3,True,4,269,0.0291054
3,True,4,270,0.0289214
3,True,4,271,0.0001436
3,True,4,272,0.0014865
3,True,4,273,0.0018334
3,True,4,274,0.0015523
3,True,4,275,0.0027123
3,True,4,276,0.0019645
3,True,4,277,0.0014552
3,True,4,278,0.0034164
3,True,4,279,0.0018473
3,True,4,280,0.0025667
3,True,4,281,0.0019695
3,True,4,282,0.0028675
3,True,4,283,0.002235
3,True,4,284,0.0036822
3,True,4,285,0.0029782
3,True,4,286,0.004624
3,True,4,287,0.0026269
3,True,4,288,0.0034374
3,True,4,289,0.0027586
3,True,4,290,0.0035297
3,True,4,291,0.0028905
3,True,4,292,0.0036119
3,True,4,293,0.003136
3,True,4,294,0.0039418
3,True,4,295,0.0034145
3,True,4,296,0.0045226
3,True,4,297,0.0032935
3,True,4,298,0.0040493
3,True,4,299,0.0040109
3,True,4,300,0.0046604
3,True,4,301,0.0040924
3,True,4,302,0.0043713
3,True,4,303,0.0037523
3,True,4,304,0.0048273
3,True,4,305,0.0038345
3,True,4,306,0.0070589
3,True,4,307,0.004297
3,True,4,308,0.0067518
3,True,4,309,0.0040891
3,True,4,310,0.0052976
3,True,4,311,0.004226
3,True,4,312,0.0041843
3,True,4,313,0.0050417
3,True,4,314,0.0074633
3,True,4,315,0.0050629
3,True,4,316,0.0048335
3,True,4,317,0.0070627
3,True,4,318,0.0053671
3,True,4,319,0.0074954
3,True,4,320,0.0051801
3,True,4,321,0.0065053
3,True,4,322,0.0055923
3,True,4,323,0.0073403
3,True,4,324,0.0056652
3,True,4,325,0.0071589
3,True,4,326,0.0056549
3,True,4,327,0.0082694
3,True,4,328,0.0063299
3,True,4,329,0.00766
3,True,4,330,0.0079291
3,True,4,331,0.0086867
3,True,4,332,0.0060026
3,True,4,333,0.0086694
3,True,4,334,0.0065653
3,True,4,335,0.00832
3,True,4,336,0.0093952
3,True,4,337,0.0094644
3,True,4,338,0.0093405
3,True,4,339,0.0068818
3,True,4,340,0.0049657
3,True,4,341,0.0093285
3,True,4,342,0.0069632
3,True,4,343,0.0070359
3,True,4,344,0.0106739
3,True,4,345,0.0081147
3,True,4,346,0.0078551
3,True,4,347,0.0080975
3,True,4,348,0.0068844
3,True,4,349,0.0033225
3,True,4,350,0.0096008
3,True,4,351,0.0101667
3,True,4,352,0.009506
3,True,4,353,0.012494
3,True,4,354,0.0093442
3,True,4,355,0.0077688
3,True,4,356,0.0051489
3,True,4,357,0.0124621
3,True,4,358,0.0054867
3,True,4,359,0.0126531
3,True,4,360,0.0060546
3,True,4,361,0.0107954
3,True,4,362,0.0072568
3,True,4,363,0.0123936
3,True,4,364,0.0065843
3,True,4,365,0.0131039
3,True,4,366,0.007018
3,True,4,367,0.0126154
3,True,4,368,0.0070208
3,True,4,369,0.0136589
3,True,4,370,0.0073116
3,True,4,371,0.0137839
3,True,4,372,0.0071806
3,True,4,373,0.0137274
3,True,4,374,0.008006
3,True,4,375,0.0142104
3,True,4,376,0.0076609
3,True,4,377,0.0122891
3,True,4,378,0.0117004
3,True,4,379,0.0037499
3,True,4,380,0.0091642
3,True,4,381,0.0037681
3,True,4,382,0.0101329
3,True,4,383,0.0036742
3,True,4,384,0.0093262
3,True,4,385,0.0038011
3,True,4,386,0.010149
3,True,4,387,0.005251
3,True,4,388,0.0128555
3,True,4,389,0.0044008
3,True,4,390,0.0104245
3,True,4,391,0.0041336
3,True,4,392,0.0113985
3,True,4,393,0.0044796
3,True,4,394,0.0117387
3,True,4,395,0.0045914
3,True,4,396,0.0111795
3,True,4,397,0.0046379
3,True,4,398,0.0110837
3,True,4,399,0.0049268
3,True,4,400,0.0114018
3,True,4,401,0.0054044
3,True,4,402,0.0080615
3,True,4,403,7.99e-05
3,True,4,404,0.0050647
3,True,4,405,0.0144479
3,True,4,406,0.0042873
3,True,4,407,0.0049702
3,True,4,408,0.0042793
3,True,4,409,0.0334909
3,True,4,410,0.0309522
3,True,4,411,0.0374101
3,True,4,412,0.0344999
3,True,4,413,0.0699879
3,True,4,414,0.10606
3,True,4,415,0.0924198
3,True,4,416,0.0950208
3,True,4,417,0.0779116
3,True,4,418,0.0852181
3,True,4,419,0.0889546
3,True,4,420,0.0920129
3,True,4,421,0.0876106
3,True,4,422,0.0983454
3,True,4,423,0.0914752
3,True,4,424,0.0973867
3,True,4,425,0.108062
3,True,4,426,0.107572
3,True,4,427,0.102507
3,True,4,428,0.103019
3,True,4,429,0.102283
3,True,4,430,0.105601
3,True,4,431,0.105083
3,True,4,432,0.11407
3,True,4,433,0.107679
3,True,4,434,0.116122
3,True,4,435,0.110394
3,True,4,436,0.121424
3,True,4,437,0.0182166
3,True,4,438,0.0299348
3,True,4,439,0.0462486
3,True,4,440,0.0397655
3,True,4,441,0.11539
3,True,4,442,0.0829133
3,True,4,443,0.0111175
3,True,4,444,0.016769
3,True,4,445,0.0157453
3,True,4,446,0.012037
3,True,4,447,0.0120566
3,True,4,448,0.0158884
3,True,4,449,0.0081362
3,True,4,450,0.0133354
3,True,4,451,0.0104662
3,True,4,452,0.011894
3,True,4,453,0.012247
3,True,4,454,0.0123744
3,True,4,455,0.0111453
3,True,4,456,0.0130526
3,True,4,457,0.0136188
3,True,4,458,0.0130571
3,True,4,459,0.0131874
3,True,4,460,0.0159043
3,True,4,461,0.0131476
3,True,4,462,0.0146921
3,True,4,463,0.0135497
3,True,4,464,0.0148295
3,True,4,465,0.0141217
3,True,4,466,0.0154824
3,True,4,467,0.0176126
3,True,4,468,0.0176592
3,True,4,469,0.015994
3,True,4,470,0.0165096
3,True,4,471,0.0167762
3,True,4,472,0.019744
3,True,4,473,0.0177341
3,True,4,474,0.0218742
3,True,4,475,0.0037913
3,True,4,476,0.0114569
3,True,4,477,0.0081331
3,True,4,478,0.0070177
3,True,4,479,0.0288422
3,True,4,480,0.0687782
3,True,4,481,0.0565847
3,True,4,482,0.0414268
3,True,4,483,0.0513794
3,True,4,484,0.0416263
3,True,4,485,0.0467692
3,True,4,486,0.0391148
3,True,4,487,0.0534928
3,True,4,488,0.0394435
