Endgame, White, Parameter, Move,evaluation_function
1,True,4,1,10
1,True,4,2,-60
1,True,4,3,30
1,True,4,4,30
1,True,4,5,30
1,True,4,6,40
1,True,4,7,40
1,True,4,8,40
1,True,4,9,30
1,True,4,10,30
1,True,4,11,30
1,True,4,12,30
1,True,4,13,30
1,True,4,14,30
1,True,4,15,30
1,True,4,16,30
1,True,4,17,30
1,True,4,18,30
1,True,4,19,30
1,True,4,20,30
1,True,4,21,30
1,True,4,22,30
1,True,4,23,30
1,True,4,24,30
1,True,4,25,30
1,True,4,26,30
1,True,4,27,30
1,True,4,28,30
1,True,4,29,30
1,True,4,30,30
1,True,4,31,30
1,True,4,32,30
1,True,4,33,30
1,True,4,34,30
1,True,4,35,0
1,True,4,36,10
1,True,4,37,10
1,True,4,38,10
1,True,4,39,10
1,True,4,40,0
1,True,4,41,-10
1,True,4,42,-20
1,True,4,43,-20
1,True,4,44,-20
1,True,4,45,-20
1,True,4,46,-20
1,True,4,47,-20
1,True,4,48,-10
1,True,4,49,0
1,True,4,50,0
1,True,4,51,0
1,True,4,52,0
1,True,4,53,0
1,True,4,54,0
1,True,4,55,0
1,True,4,56,0
1,True,4,57,0
1,True,4,58,0
1,True,4,59,0
1,True,4,60,0
1,True,4,61,0
1,True,4,62,0
1,True,4,63,0
1,True,4,64,0
1,True,4,65,0
1,True,4,66,0
1,True,4,67,0
1,True,4,68,0
1,True,4,69,0
1,True,4,70,0
1,True,4,71,0
1,True,4,72,0
1,True,4,73,0
1,True,4,74,0
1,True,4,75,0
1,True,4,76,20
1,True,4,77,20
1,True,4,78,30
1,True,4,79,30
1,True,4,80,0
1,True,4,81,-80
1,True,4,82,-80
1,True,4,83,-80
1,True,4,84,-80
1,True,4,85,-80
1,True,4,86,-80
1,True,4,87,-80
1,True,4,88,-80
1,True,4,89,-80
1,True,4,90,-80
1,True,4,91,-80
1,True,4,92,-80
1,True,4,93,-80
1,True,4,94,-80
1,True,4,95,-80
1,True,4,96,-80
1,True,4,97,-80
1,True,4,98,-80
1,True,4,99,-80
1,True,4,100,-80
1,True,4,101,-80
1,True,4,102,-80
1,True,4,103,-80
1,True,4,104,-80
1,True,4,105,-80
1,True,4,106,-80
1,True,4,107,-80
1,True,4,108,0
1,True,4,109,20
1,True,4,110,20
1,True,4,111,20
1,True,4,112,10
1,True,4,113,10
1,True,4,114,10
1,True,4,115,10
1,True,4,116,-60
1,True,4,117,-70
1,True,4,118,-80
1,True,4,119,-90
1,True,4,120,-90
1,True,4,121,-90
1,True,4,122,-90
1,True,4,123,-90
1,True,4,124,-90
1,True,4,125,-90
1,True,4,126,-90
1,True,4,127,-90
1,True,4,128,-90
1,True,4,129,-90
1,True,4,130,-90
1,True,4,131,-90
1,True,4,132,-90
1,True,4,133,-90
1,True,4,134,-90
1,True,4,135,-90
1,True,4,136,-90
1,True,4,137,-90
1,True,4,138,-90
1,True,4,139,-90
1,True,4,140,-90
1,True,4,141,-90
1,True,4,142,-90
1,True,4,143,-90
1,True,4,144,-90
1,True,4,145,-90
1,True,4,146,-90
1,True,4,147,-90
1,True,4,148,-90
1,True,4,149,-90
1,True,4,150,-90
1,True,4,151,-90
1,True,4,152,-90
1,True,4,153,-90
1,True,4,154,-90
1,True,4,155,-90
1,True,4,156,-90
1,True,4,157,-90
1,True,4,158,-90
1,True,4,159,-90
1,True,4,160,-90
1,True,4,161,-90
1,True,4,162,-90
1,True,4,163,-90
1,True,4,164,-90
1,True,4,165,-90
1,True,4,166,-90
1,True,4,167,-90
1,True,4,168,-90
1,True,4,169,-90
1,True,4,170,-90
1,True,4,171,-90
1,True,4,172,-90
1,True,4,173,-90
1,True,4,174,-90
1,True,4,175,-90
1,True,4,176,-90
1,True,4,177,-90
1,True,4,178,-90
1,True,4,179,-90
1,True,4,180,-90
1,True,4,181,-90
1,True,4,182,-90
1,True,4,183,-90
1,True,4,184,-90
1,True,4,185,-90
1,True,4,186,-90
1,True,4,187,-90
1,True,4,188,-90
1,True,4,189,-90
1,True,4,190,-90
1,True,4,191,-90
1,True,4,192,-90
1,True,4,193,-90
1,True,4,194,-90
1,True,4,195,-80
1,True,4,196,-80
1,True,4,197,-90
1,True,4,198,-90
1,True,4,199,-90
1,True,4,200,-90
1,True,4,201,-90
1,True,4,202,-90
1,True,4,203,-90
1,True,4,204,-90
1,True,4,205,-90
1,True,4,206,-90
1,True,4,207,-90
1,True,4,208,-90
1,True,4,209,-90
1,True,4,210,-90
1,True,4,211,-90
1,True,4,212,-90
1,True,4,213,-90
1,True,4,214,-90
1,True,4,215,-90
1,True,4,216,-90
1,True,4,217,-90
1,True,4,218,-90
1,True,4,219,-90
1,True,4,220,-90
1,True,4,221,-90
1,True,4,222,-90
1,True,4,223,-90
1,True,4,224,-90
1,True,4,225,-90
1,True,4,226,-90
1,True,4,227,-90
1,True,4,228,-90
1,True,4,229,-90
1,True,4,230,-90
1,True,4,231,-90
1,True,4,232,-90
1,True,4,233,-90
1,True,4,234,-90
1,True,4,235,-90
1,True,4,236,-90
1,True,4,237,-90
1,True,4,238,-90
1,True,4,239,-90
1,True,4,240,-90
1,True,4,241,-90
1,True,4,242,-90
1,True,4,243,-90
1,True,4,244,-90
1,True,4,245,-80
1,True,4,246,-80
1,True,4,247,-80
1,True,4,248,-80
1,True,4,249,-80
1,True,4,250,-80
1,True,4,251,-80
1,True,4,252,-80
1,True,4,253,-80
1,True,4,254,-80
1,True,4,255,-80
1,True,4,256,-80
1,True,4,257,-80
1,True,4,258,-80
1,True,4,259,-80
1,True,4,260,-80
1,True,4,261,-80
1,True,4,262,-80
1,True,4,263,-80
1,True,4,264,-80
1,True,4,265,-80
1,True,4,266,-80
1,True,4,267,-80
1,True,4,268,-80
1,True,4,269,-80
1,True,4,270,-80
1,True,4,271,0
