Endgame, White, Parameter, Move,number_of_evaluations
2,True,4,1,19
2,True,4,2,30
2,True,4,3,53
2,True,4,4,22
2,True,4,5,20
2,True,4,6,19
2,True,4,7,22
2,True,4,8,32
2,True,4,9,31
2,True,4,10,31
2,True,4,11,24
2,True,4,12,22
2,True,4,13,16
2,True,4,14,28
2,True,4,15,16
2,True,4,16,28
2,True,4,17,16
2,True,4,18,28
2,True,4,19,16
2,True,4,20,28
2,True,4,21,16
2,True,4,22,28
2,True,4,23,16
2,True,4,24,28
2,True,4,25,16
2,True,4,26,28
2,True,4,27,16
2,True,4,28,28
2,True,4,29,16
2,True,4,30,28
2,True,4,31,16
2,True,4,32,28
2,True,4,33,16
2,True,4,34,28
2,True,4,35,1
2,True,4,36,29
2,True,4,37,28
2,True,4,38,29
2,True,4,39,28
2,True,4,40,31
2,True,4,41,31
2,True,4,42,39
2,True,4,43,31
2,True,4,44,40
2,True,4,45,42
2,True,4,46,33
2,True,4,47,25
2,True,4,48,60
2,True,4,49,103
2,True,4,50,27
2,True,4,51,27
2,True,4,52,27
2,True,4,53,27
2,True,4,54,27
2,True,4,55,27
2,True,4,56,27
2,True,4,57,27
2,True,4,58,27
2,True,4,59,27
2,True,4,60,27
2,True,4,61,27
2,True,4,62,27
2,True,4,63,27
2,True,4,64,27
2,True,4,65,27
2,True,4,66,27
2,True,4,67,27
2,True,4,68,27
2,True,4,69,27
2,True,4,70,27
2,True,4,71,27
2,True,4,72,27
2,True,4,73,27
2,True,4,74,27
2,True,4,75,1
2,True,4,76,65
2,True,4,77,27
2,True,4,78,67
2,True,4,79,73
2,True,4,80,20
2,True,4,81,16
2,True,4,82,54
2,True,4,83,57
2,True,4,84,51
2,True,4,85,58
2,True,4,86,51
2,True,4,87,58
2,True,4,88,51
2,True,4,89,58
2,True,4,90,51
2,True,4,91,58
2,True,4,92,51
2,True,4,93,58
2,True,4,94,51
2,True,4,95,58
2,True,4,96,51
2,True,4,97,58
2,True,4,98,51
2,True,4,99,58
2,True,4,100,51
2,True,4,101,58
2,True,4,102,51
2,True,4,103,58
2,True,4,104,51
2,True,4,105,58
2,True,4,106,51
2,True,4,107,58
2,True,4,108,1
2,True,4,109,65
2,True,4,110,27
2,True,4,111,29
2,True,4,112,46
2,True,4,113,33
2,True,4,114,29
2,True,4,115,36
2,True,4,116,35
2,True,4,117,79
2,True,4,118,70
2,True,4,119,72
2,True,4,120,62
2,True,4,121,85
2,True,4,122,77
2,True,4,123,84
2,True,4,124,59
2,True,4,125,76
2,True,4,126,65
2,True,4,127,76
2,True,4,128,65
2,True,4,129,76
2,True,4,130,65
2,True,4,131,76
2,True,4,132,65
2,True,4,133,76
2,True,4,134,65
2,True,4,135,76
2,True,4,136,65
2,True,4,137,76
2,True,4,138,65
2,True,4,139,76
2,True,4,140,65
2,True,4,141,76
2,True,4,142,65
2,True,4,143,76
2,True,4,144,65
2,True,4,145,44
2,True,4,146,65
2,True,4,147,76
2,True,4,148,78
2,True,4,149,67
2,True,4,150,66
2,True,4,151,67
2,True,4,152,66
2,True,4,153,67
2,True,4,154,66
2,True,4,155,67
2,True,4,156,66
2,True,4,157,67
2,True,4,158,66
2,True,4,159,67
2,True,4,160,66
2,True,4,161,67
2,True,4,162,66
2,True,4,163,67
2,True,4,164,66
2,True,4,165,67
2,True,4,166,66
2,True,4,167,67
2,True,4,168,66
2,True,4,169,67
2,True,4,170,57
2,True,4,171,62
2,True,4,172,63
2,True,4,173,62
2,True,4,174,63
2,True,4,175,62
2,True,4,176,63
2,True,4,177,62
2,True,4,178,63
2,True,4,179,62
2,True,4,180,63
2,True,4,181,62
2,True,4,182,63
2,True,4,183,62
2,True,4,184,63
2,True,4,185,62
2,True,4,186,63
2,True,4,187,62
2,True,4,188,63
2,True,4,189,62
2,True,4,190,63
2,True,4,191,62
2,True,4,192,63
2,True,4,193,62
2,True,4,194,63
2,True,4,195,45
2,True,4,196,46
2,True,4,197,60
2,True,4,198,51
2,True,4,199,60
2,True,4,200,51
2,True,4,201,60
2,True,4,202,51
2,True,4,203,60
2,True,4,204,51
2,True,4,205,60
2,True,4,206,51
2,True,4,207,60
2,True,4,208,51
2,True,4,209,60
2,True,4,210,51
2,True,4,211,60
2,True,4,212,51
2,True,4,213,60
2,True,4,214,51
2,True,4,215,60
2,True,4,216,51
2,True,4,217,60
2,True,4,218,51
2,True,4,219,60
2,True,4,220,49
2,True,4,221,72
