Endgame, White, Parameter, Move,number_of_evaluations
3,False,4,1,8
3,False,4,2,8
3,False,4,3,7
3,False,4,4,7
3,False,4,5,7
3,False,4,6,6
3,False,4,7,7
3,False,4,8,6
3,False,4,9,6
3,False,4,10,7
3,False,4,11,6
3,False,4,12,6
3,False,4,13,4
3,False,4,14,6
3,False,4,15,4
3,False,4,16,6
3,False,4,17,4
3,False,4,18,6
3,False,4,19,4
3,False,4,20,6
3,False,4,21,4
3,False,4,22,6
3,False,4,23,4
3,False,4,24,6
3,False,4,25,4
3,False,4,26,6
3,False,4,27,4
3,False,4,28,6
3,False,4,29,4
3,False,4,30,6
3,False,4,31,4
3,False,4,32,6
3,False,4,33,4
3,False,4,34,6
3,False,4,35,19
3,False,4,36,23
3,False,4,37,21
3,False,4,38,23
3,False,4,39,19
3,False,4,40,43
3,False,4,41,31
3,False,4,42,24
3,False,4,43,20
3,False,4,44,28
3,False,4,45,20
3,False,4,46,21
3,False,4,47,27
3,False,4,48,30
3,False,4,49,43
3,False,4,50,71
3,False,4,51,25
3,False,4,52,71
3,False,4,53,25
3,False,4,54,71
3,False,4,55,25
3,False,4,56,71
3,False,4,57,25
3,False,4,58,71
3,False,4,59,25
3,False,4,60,71
3,False,4,61,25
3,False,4,62,71
3,False,4,63,25
3,False,4,64,71
3,False,4,65,25
3,False,4,66,71
3,False,4,67,25
3,False,4,68,71
3,False,4,69,25
3,False,4,70,71
3,False,4,71,25
3,False,4,72,71
3,False,4,73,25
3,False,4,74,15
3,False,4,75,170
3,False,4,76,186
3,False,4,77,190
3,False,4,78,184
3,False,4,79,110
3,False,4,80,62
3,False,4,81,63
3,False,4,82,265
3,False,4,83,150
3,False,4,84,158
3,False,4,85,148
3,False,4,86,158
3,False,4,87,148
3,False,4,88,158
3,False,4,89,148
3,False,4,90,158
3,False,4,91,148
3,False,4,92,158
3,False,4,93,148
3,False,4,94,158
3,False,4,95,148
3,False,4,96,158
3,False,4,97,148
3,False,4,98,158
3,False,4,99,148
3,False,4,100,158
3,False,4,101,148
3,False,4,102,158
3,False,4,103,148
3,False,4,104,158
3,False,4,105,148
3,False,4,106,158
3,False,4,107,22
3,False,4,108,342
3,False,4,109,1219
3,False,4,110,351
3,False,4,111,426
3,False,4,112,806
3,False,4,113,771
3,False,4,114,1491
3,False,4,115,706
3,False,4,116,2211
3,False,4,117,9059
3,False,4,118,1591
3,False,4,119,1219
3,False,4,120,3269
3,False,4,121,1246
3,False,4,122,2684
3,False,4,123,1086
3,False,4,124,991
3,False,4,125,1305
3,False,4,126,991
3,False,4,127,1305
3,False,4,128,991
3,False,4,129,1305
3,False,4,130,991
3,False,4,131,1305
3,False,4,132,991
3,False,4,133,1305
3,False,4,134,991
3,False,4,135,1305
3,False,4,136,991
3,False,4,137,1305
3,False,4,138,991
3,False,4,139,1305
3,False,4,140,991
3,False,4,141,1305
3,False,4,142,991
3,False,4,143,1305
3,False,4,144,187
3,False,4,145,1755
3,False,4,146,2030
3,False,4,147,9538
3,False,4,148,3763
3,False,4,149,1629
3,False,4,150,1464
3,False,4,151,1629
3,False,4,152,1464
3,False,4,153,1629
3,False,4,154,1464
3,False,4,155,1629
3,False,4,156,1464
3,False,4,157,1629
3,False,4,158,1464
3,False,4,159,1629
3,False,4,160,1464
3,False,4,161,1629
3,False,4,162,1464
3,False,4,163,1629
3,False,4,164,1464
3,False,4,165,1629
