Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
2,MCTS,5,True,MCTS,3,0,0,1,6,1283,30.1072,769,18.1109
2,MCTS,5,True,MCTS,4,0,0,1,12,2491,60.2072,1978,48.2012
3,MCTS,1,True,MCTS,2,1,0,0,4,245,4.04593,408,6.01776
3,MCTS,1,True,MCTS,3,1,0,0,2,110,2.0176,174,3.02079
3,MCTS,1,True,MCTS,4,1,0,0,2,106,2.02771,241,4.00121
3,MCTS,1,True,MCTS,5,1,0,0,2,116,2.02642,288,5.00346
3,MCTS,2,True,MCTS,1,1,0,0,2,228,4.00375,62,1.00469
3,MCTS,2,True,MCTS,3,1,0,0,2,230,4.02588,183,3.00771
3,MCTS,2,True,MCTS,4,1,0,0,4,470,8.03864,683,12.0325
3,MCTS,2,True,MCTS,5,1,0,0,2,240,4.02742,296,5.01292
3,MCTS,3,True,MCTS,1,0,0,1,3,562,9.032,178,3.03074
3,MCTS,3,True,MCTS,2,1,0,0,7,1617,21.0495,901,12.0786
3,MCTS,3,True,MCTS,4,1,0,0,4,770,12.0555,810,12.0404
3,MCTS,3,True,MCTS,5,0,0,1,4,727,12.0513,1200,20.0251
3,MCTS,4,True,MCTS,1,1,0,0,2,512,8.03005,64,1.01135
3,MCTS,4,True,MCTS,2,1,0,0,18,5486,72.2178,2692,34.2682
3,MCTS,4,True,MCTS,3,1,0,0,3,875,12.0324,447,6.04347
3,MCTS,4,True,MCTS,5,1,0,0,2,535,8.02607,301,5.01218
3,MCTS,5,True,MCTS,1,0,0,1,11,4088,55.0956,842,11.1711
3,MCTS,5,True,MCTS,2,1,0,0,3,908,15.0128,271,4.01938
3,MCTS,5,True,MCTS,3,1,0,0,3,931,15.0551,339,6.02537
3,MCTS,5,True,MCTS,4,1,0,0,3,885,15.0458,471,8.03019
4,MCTS,1,True,MCTS,2,1,0,0,39,2316,39.5497,4490,76.5577
4,MCTS,1,True,MCTS,3,0,0,1,35,2063,35.6276,6265,105.499
4,MCTS,1,True,MCTS,4,0,0,1,14,834,14.205,3168,56.1402
4,MCTS,1,True,MCTS,5,1,0,0,37,2161,37.7812,10333,180.415
4,MCTS,2,True,MCTS,1,1,0,0,39,4455,78.5444,2186,38.6176
4,MCTS,2,True,MCTS,3,0,0,1,10,1103,20.1202,1593,30.1056
4,MCTS,2,True,MCTS,4,0,0,1,64,9644,129.614,18991,257.566
4,MCTS,2,True,MCTS,5,0,0,1,20,2440,40.3387,6095,100.267
4,MCTS,3,True,MCTS,1,1,0,0,8,1084,24.0571,351,7.07262
4,MCTS,3,True,MCTS,2,0,0,1,17,2934,51.2295,1931,34.2299
