Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
1,True,2,133,10,309,2.04008
1,True,2,134,10,310,2.04362
1,True,2,135,10,306,2.04733
1,True,2,136,10,306,2.04914
1,True,2,137,10,301,2.05125
1,True,2,138,10,306,2.05214
1,True,2,139,10,302,2.04559
1,True,2,140,90,332,2.05029
1,True,2,141,90,379,2.05838
1,True,2,142,90,358,2.06357
1,True,2,143,90,380,2.05133
1,True,2,144,90,334,2.05389
1,True,2,145,90,396,2.0421
1,True,2,146,90,393,2.0415
1,True,2,147,0,540,2.05298
1,True,2,148,0,500,2.09605
1,False,1,1,10,40,1.01346
1,False,1,2,10,28,1.04508
1,False,1,3,-70,37,1.00419
1,False,1,4,-60,38,1.03435
1,False,1,5,-70,38,1.00768
1,False,1,6,-70,38,1.00425
1,False,1,7,-70,50,1.01068
1,False,1,8,-70,49,1.01405
1,False,1,9,-70,36,1.01459
1,False,1,10,-70,40,1.02045
1,False,1,11,-70,42,1.01783
1,False,1,12,-70,37,1.00846
1,False,1,13,-70,43,1.00577
1,False,1,14,-70,39,1.00575
1,False,1,15,-70,46,1.0104
1,False,1,16,-70,39,1.0059
1,False,1,17,-70,45,1.01677
1,False,1,18,-70,46,1.02301
1,False,1,19,20,42,1.0043
1,False,1,20,20,43,1.02752
1,False,1,21,20,42,1.0201
1,False,1,22,20,43,1.01487
1,False,1,23,20,48,1.01795
1,False,1,24,20,48,1.01414
1,False,1,25,20,43,1.03272
1,False,1,26,10,47,1.02039
1,False,1,27,10,56,1.01942
1,False,1,28,10,47,1.01354
1,False,1,29,10,51,1.01693
1,False,1,30,10,45,1.01464
1,False,1,31,10,53,1.01108
1,False,1,32,-20,59,1.03585
1,False,1,33,-20,68,1.01657
1,False,1,34,-20,53,1.02854
1,False,1,35,-20,55,1.01477
1,False,1,36,-20,67,1.01275
1,False,1,37,-20,74,1.02027
1,False,1,38,-20,76,1.03183
1,False,1,39,-20,59,1.025
1,False,1,40,-20,57,1.02579
1,False,1,41,-20,56,1.02271
1,False,1,42,-20,59,1.0396
1,False,1,43,-20,57,1.04115
1,False,1,44,-20,66,1.0313
