Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
1,MCTS,2,True,MCTS,1,0,0,1,17,1476,34.3048,741,17.2882
1,MCTS,2,True,MCTS,1,0,0,1,56,6918,112.723,3486,57.0902
1,MCTS,2,True,MCTS,1,0,0,1,10,703,20.2205,371,10.1422
1,MCTS,2,True,MCTS,1,0,0,1,21,1906,42.2565,969,21.4297
1,MCTS,2,True,MCTS,1,0,0,1,16,1436,32.2258,739,16.2943
1,MCTS,3,True,MCTS,1,1,0,0,20,3190,60.32,996,19.225
1,MCTS,3,True,MCTS,1,1,0,0,73,14372,220.384,4810,74.1105
1,MCTS,3,True,MCTS,1,0,0,1,41,5555,123.818,1874,41.8108
1,MCTS,3,True,MCTS,1,0,0,1,31,5161,93.4155,1766,31.5091
1,MCTS,3,True,MCTS,1,1,0,0,20,2790,60.3089,914,19.3612
1,MCTS,3,True,MCTS,1,0,0,1,29,4228,87.4189,1405,29.471
1,MCTS,3,True,MCTS,2,0,0,1,19,2141,57.3357,1440,38.3931
1,MCTS,3,True,MCTS,2,0,0,1,24,2919,72.3883,1968,48.4201
1,MCTS,3,True,MCTS,2,0,0,1,7,834,21.1194,566,14.1401
1,MCTS,3,True,MCTS,2,1,0,0,14,1881,42.1988,1161,26.1598
1,MCTS,3,True,MCTS,2,1,0,0,33,4793,99.4786,3041,64.6626
1,MCTS,3,True,MCTS,2,0,0,1,10,1277,30.1549,854,20.1695
1,MCTS,3,True,MCTS,2,0,0,1,75,14641,227.005,9918,152.361
1,MCTS,4,True,MCTS,2,0,1,0,75,15619,302.06,7646,150.426
1,MCTS,4,True,MCTS,2,0,0,1,22,3645,88.3943,1831,44.3592
1,MCTS,4,True,MCTS,2,0,0,1,41,8527,283.564,4534,82.8244
1,MCTS,4,True,MCTS,2,1,0,0,23,4929,92.3647,2327,44.3578
1,MCTS,4,True,MCTS,2,0,0,1,27,4974,108.412,2485,54.4399
1,MCTS,4,True,MCTS,3,1,0,0,51,10975,204.974,8099,151.173
1,MCTS,4,True,MCTS,3,0,0,1,19,3880,76.3407,2876,57.3027
1,MCTS,4,True,MCTS,3,1,0,0,46,9155,185.988,6541,135.924
1,MCTS,4,True,MCTS,3,0,0,1,25,5334,100.403,3995,75.4129
1,MCTS,4,True,MCTS,3,0,0,1,6,1103,24.093,825,18.1006
1,MCTS,5,True,MCTS,2,0,0,1,28,6630,140.522,2718,56.5756
1,MCTS,5,True,MCTS,2,0,0,1,21,4852,105.323,1978,42.4275
1,MCTS,5,True,MCTS,2,0,0,1,16,3464,80.2545,1372,32.2882
1,MCTS,5,True,MCTS,2,1,0,0,36,9510,180.574,3643,70.7597
1,MCTS,5,True,MCTS,2,0,0,1,39,9215,195.72,3483,78.8614
1,MCTS,5,True,MCTS,3,0,0,1,38,9241,190.851,5723,114.996
1,MCTS,5,True,MCTS,3,0,1,0,60,19142,301.612,11349,178.983
1,MCTS,5,True,MCTS,3,0,0,1,14,3478,70.2222,2071,42.1929
1,MCTS,5,True,MCTS,3,0,0,1,20,5234,100.336,3205,60.3669
1,MCTS,5,True,MCTS,3,0,0,1,18,3861,90.2446,2376,54.3168
1,MCTS,5,True,MCTS,4,1,0,0,25,5742,125.377,4442,96.5079
1,MCTS,5,True,MCTS,4,0,0,1,24,5374,120.498,4146,111.78
1,MCTS,5,True,MCTS,4,0,0,1,12,2516,60.1916,1987,48.1961
1,MCTS,5,True,MCTS,4,0,0,1,12,2689,60.186,2162,48.1572
1,MCTS,5,True,MCTS,4,0,0,1,25,5630,125.472,4514,100.556
2,MCTS,2,True,MCTS,1,0,0,1,16,1629,32.2241,829,16.1873
2,MCTS,2,True,MCTS,1,0,0,1,33,3988,66.3537,1979,33.4672
2,MCTS,2,True,MCTS,1,0,0,1,33,3629,66.4476,1868,33.4707
2,MCTS,2,True,MCTS,1,1,0,0,44,7763,88.5806,3876,43.885
2,MCTS,2,True,MCTS,1,0,0,1,9,942,18.1492,466,9.11442
2,MCTS,3,True,MCTS,1,0,0,1,60,14579,181.268,4952,61.4251
2,MCTS,3,True,MCTS,1,0,0,1,24,4736,72.2449,1601,24.3226
2,MCTS,3,True,MCTS,1,1,0,0,10,1542,30.1478,449,9.11611
2,MCTS,3,True,MCTS,1,1,0,0,11,1912,33.1275,595,10.1394
2,MCTS,3,True,MCTS,1,0,0,1,18,3256,54.1945,1100,18.2154
2,MCTS,3,True,MCTS,2,0,0,1,10,1748,30.1096,1186,20.1386
2,MCTS,3,True,MCTS,2,1,0,0,24,3932,72.2941,2521,46.3272
2,MCTS,3,True,MCTS,2,0,0,1,46,10981,138.802,7224,92.9786
2,MCTS,3,True,MCTS,2,1,0,0,12,1923,36.2107,1219,22.1227
2,MCTS,3,True,MCTS,2,0,0,1,2,280,6.02283,183,4.02449
2,MCTS,4,True,MCTS,1,0,0,1,47,15408,188.714,3840,48.1774
2,MCTS,4,True,MCTS,1,1,0,0,24,5435,96.3254,1318,23.3971
2,MCTS,4,True,MCTS,1,0,0,1,6,1144,24.0898,292,6.07537
2,MCTS,4,True,MCTS,1,1,0,0,29,8869,116.4,2155,28.6034
2,MCTS,4,True,MCTS,1,0,0,1,13,2358,52.2148,590,13.2039
2,MCTS,4,True,MCTS,2,0,0,1,16,3464,64.2135,1614,32.2403
2,MCTS,4,True,MCTS,2,0,0,1,37,8063,148.579,4053,74.7602
2,MCTS,4,True,MCTS,2,0,0,1,5,1000,20.1021,508,10.0778
2,MCTS,4,True,MCTS,2,0,0,1,9,2165,36.0983,1108,18.1753
2,MCTS,4,True,MCTS,2,0,0,1,4,769,16.0497,352,8.06638
2,MCTS,4,True,MCTS,3,0,0,1,9,1677,36.1338,1246,27.131
2,MCTS,4,True,MCTS,3,0,0,1,20,4314,80.3059,3218,60.3016
2,MCTS,4,True,MCTS,3,0,0,1,14,3189,56.2053,2468,42.2032
2,MCTS,4,True,MCTS,3,0,0,1,6,1161,24.1174,870,18.0746
2,MCTS,4,True,MCTS,3,0,0,1,11,2132,44.1695,1616,33.1261
2,MCTS,5,True,MCTS,1,1,0,0,45,13812,225.685,2658,45.1546
